TARGET URL: https://www.yellowpageskenya.com/business-category/Aquaculture%20Products%20&%20Supplies
Company Name,Email,Mobile
Ciira Agro-vet Supplies,info@ciira-agrovet.com,0713483593
Associated Battery Manufacturers (EA) Ltd - Plastics Divison,customercare@precisionplastics.co.ke,0722201371
Elburgon Flies Supplies,francis@troutflyfishingflieskenya.com,0720968005
Great Laboratory & Chemical Supplies Ltd,info@greatlab.co.ke,0723435983
Imarika DT Sacco,Customercare@imarika.org,0726007037
Ingredion Holding LLC - Kenya Branch,info@ingredion.com,0703781519
Kenya Clay Products Ltd/Manson Hart,info@kcp.co.ke,0722670802
Kiscen Enterprises,kiscen@yahoo.com,0720668405
Rycedental Supplies Ltd,rycedentalsupplies2000@yahoo.com,0721401864
Signs Africa Supplies Ltd,signsafricasupplies@gmail.com,0707087787
Technomed Ltd,mail@technomed.co.ke,0722713963
United Engineering Supplies Ltd,info@uesl.co.ke,0724255445
Amiken Ltd,amiken@amikenltd.com,0713213399
Lucky Steel & Co Ltd,info@luckysteel.co.ke,0721224777
Migotiyo Plantations Ltd,venugopal@leigoi.com,0722202475
New Italycor Ltd,info@newitalycor.com,0797602072
Specialised Power Systems Ltd,info@spsafrica.com,0724205532
Teita Estate Ltd,info@teitaestate.co.ke,N/A
Umoja Rubber Products Ltd,info@umojarubber.com,0722204994
Beshifa Auto Spares,beshifautoltd@gmail.com,0736347636
Autotech Solutions Ltd,info@autotechsolutions.co.ke,0723643083
Cesscolina East Africa Ltd,info@cesscolina.co.ke,0705192310
Coast Light General Enterprises Ltd,info@coastlight.co.ke,0726947206
Consolidated Appliances Ltd,maanki@quickpack.co.ke,0723549944
European Star Auto Parts,europeanstar@gmail.com,0722383838
Felicity Solar Kenya,info@felicitysolarkenya.com,0729077313
Golden Zone Auto Parts Ltd,goldenzoneautoparts2019@gmail.com,0742849378
Golden Zone Autos Ltd,goldenzoneautos@gmail.com,0742202458
Highton Construction Ltd,info@highton.co.ke,0782219999
