TARGET URL: https://www.yellowpageskenya.com/business-category/Building%20Societies
Company Name,Email,Mobile
Highton Construction Ltd,info@highton.co.ke,0782219999
Kenya Clay Products Ltd/Manson Hart,info@kcp.co.ke,0722670802
Motalent Construction Ltd,motalent@iconnect.co.ke,0722828515
Precise Peace Enterprises,info@precisepeaceenterprise.co.ke,0721226875
Silverbeam Construction Ltd,N/A,0714415588
Tenderi Talents Co. Ltd,tenderitalent@gmail.com,0721205491
Imarika DT Sacco,Customercare@imarika.org,0726007037
Kenya Society for the Blind,ksb@ksblind.org,0722895448
Ukulima Co-Operative Savings & Credit Society Ltd,info@ukulimasacco.or.ke,0724993597
Vishva Builders Ltd,vishvaeld@yahoo.com,0722244841
Infinity Development,info@infinitydevltd.com,0701898752
Pan African Syndicate Ltd,info@brollokenya.com,0722412255
Skynicrobuilders Ltd,skynicrobuilders254@gmail.com,0742310678
Acres Building & Construction Ltd,acrescon@yahoo.com,0710378061
Anchor Building Technologies Ltd,N/A,0711982966
Anil Building Contractors,N/A,N/A
Associated Building & Civil Engineering Contractors,N/A,N/A
Automatic Tarrif Building (K) Ltd,N/A,N/A
Boyama Building Materials,N/A,0707886710
Building Design Consortium Ltd,N/A,N/A
Building Designer & Consultant,N/A,N/A
Building Fire Consultants Ltd,N/A,0722511935
Building Glass & Aluminum,N/A,0721981869
Building & Road Construction,N/A,N/A
Building Scope,bscope@net2000ke.com,N/A
Canton Building & Construction Ltd,cantoncbcl@yahoo.com,0722516296
Capacity Building Institute Ltd,N/A,0701150181
China Foshan Building Material Kenya Co Ltd,joe@futurealuminium.co.ke,0746626354
Ciddah Roofing & Building Materials,ciddah.roofing@gmail.com,0722918338
Community Capacity Building Initia,N/A,N/A
Conarch Building Services,N/A,N/A
Contrafrique Engineering & Building Services Ltd,N/A,0722707252
Corporate Team Building Kenya,info@teambuildingtrainers.co.ke,0720242385
Crest building and Acoustic,info@crestbuild.co.ke,0726686529
Crystal Building Systems,N/A,0722735163
Deci Capacity Building,N/A,N/A
Diverse Innovative Building Solutions Ltd,N/A,0722512764
Dunhill Building Contractors Ltd,N/A,N/A
E.C.L Building - Stall 10,N/A,0797265438
Ecobank (K) Ltd,alleke-contactcentre@ecobank.com,0722204862
Ecoline Building Supplies,N/A,0700370892
Erijan Building Consultants,N/A,N/A
Family Bank Ltd,customerservices@familybank.co.ke,0720098300
Fatom Building Contractors,N/A,0721282182
Gatitu Building Con,N/A,N/A
Gichocho Building Contractors,N/A,N/A
Gititu Construction Co Ltd,N/A,0733609956
Goshen Joyshine Building & Construction Co Ltd,N/A,0721700574
Got Mony Building Construction,N/A,0722911813
Gts - Steam & Building Services,gtskenya@yahoo.com,0720652979
HILL Building Systems LTD,isaaxmig@gmail.com,0751923807
Human Capacity Building Consultant,N/A,N/A
Imaginative Building Services Ltd,N/A,N/A
INEXPA Building Systems Ltd,N/A,0722783151
International Peace Building Alliance,ngure@interpeace.org,0710607373
Jinyuan New Building Material Ltd,N/A,0702657559
Jomumu Building & General Renovators Ltd,N/A,N/A
Kalalu Building Contractors Ltd,info@kalalubuildingcontractorsltd.com,0722504086
Kalalu Building Contractors,jmkalalu@yahoo.com,N/A
Kenya Association of Building And civil Engineering Contractors,N/A,0724568324
Kenya Building Research Centre,N/A,N/A
Kenya Institute of Highways and Building Technology,N/A,N/A
Kiarigi Building Contractors,N/A,N/A
Komarock Building Development Co Ltd,N/A,0721357199
Komarock Building Development Company Ltd,N/A,0722309041
Maridadi Building Contractors Ltd,N/A,N/A
Mazingira Building Solutions,mazingirabuilding@gmail.com,0708100808
Metis Building Services Ltd,N/A,0722148015
Mid View Building,N/A,0727779618
MMG Building Contractors,N/A,0721392639
Mundia Travel & Team building,N/A,0723469664
Nails & Steel Products Ltd,nspl@mitsuminet.com,0733622477
