"TARGET URL: https://www.yellowpageskenya.com/business-category/Contractors-Engineering,%20General"
Company Name,Email,Mobile
Vishva Builders Ltd,vishvaeld@yahoo.com,0722244841
African Marine & General Engineering Co Ltd,afmarine@africanmarine.com,0720630000
Motalent Construction Ltd,motalent@iconnect.co.ke,0722828515
Shiv Construction Co Ltd,info@shivconstruction.co.ke,0721911791
Silverbeam Construction Ltd,N/A,0714415588
Skynicrobuilders Ltd,skynicrobuilders254@gmail.com,0742310678
Tenderi Talents Co. Ltd,tenderitalent@gmail.com,0721205491
Architect Suji Associates,sujiarch@yahoo.com,0729712802
Eco Brains Contractors,info@ecobrainscontractors.co.ke,0710842717
Kiburu Enterprises Ltd,info@kiburugeneralcontractors.com,0722827607
Precise Peace Enterprises,info@precisepeaceenterprise.co.ke,0721226875
Silicon Electric Company Ltd,sielco.ltd@gmail.com,0725678005
Sanlam Allianz General Insurance (Kenya) Limited,talk2us@ke.sanlamallianz.com,0709566000
Corporate Insurance Co Ltd,cic@swiftkenya.com,N/A
Firetech Engineering Co. Ltd,sales@firetech.co.ke,0716850781
Landmark Holdings Ltd,info@lhl.co.ke,N/A
Frejed Engineering Services Ltd,info@frejed.co.ke,0101441535
Wakefield Engineering & Construction Ltd,info@wakefield.co.ke,0720989407
ATL Trailers & Engineering Ltd,autocaretrailerslimited@gmail.com,0725786500
Broadband Engineering & Communications Ltd,info@broadband-engineering.com,0734026409
Coast Light General Enterprises Ltd,info@coastlight.co.ke,0726947206
Edvik Consulting Kenya Ltd,info@edvikconsulting.com,0794347689
Elevator General Services Ltd,egselevator@gmail.com,0736433425
General Plastics Ltd,mail@genplastkenya.com,0774208003
Jobel General Hardware,info@jobelservices.co.ke,0701930876
Kenya National Audit Office,oag@oagkenya.go.ke,N/A
Lush Engineering Co Ltd,info@lushengineers.com,0722980866
Mijesh Enterprises,mijeshenterprises2018@gmail.com,0722360908
Monevas Investments Ltd,monevas.info@gmail.com,0710922220
Pawil Ventures Ltd,info@pawilventures.com,0708292674
Shep Engineering Services Ltd,info@shepengineering.co.ke,0721876252
Sofa Express Engineering,sofaexpressengineering@gmail.com,0727987735
Top Mast Engineers,sales@topmast.co.ke,0722229532
Magnum Engineering & General Contractors Ltd,info@magnum.co.ke,0700091352
"Ndumberi General Merchants,Building Contractors & Civil Engineering Ltd",N/A,N/A
Aberdares Engineering Contractors Ltd,aecontractors@mailservice.ms,0724591531
Associated Building & Civil Engineering Contractors,N/A,N/A
"Mumaka Construction Co,Building & Civil Engineering Contractors",N/A,0722937811
Bepah Builders & General Contractors Ltd,bepahcontractors@gmail.com,0726864866
Bosco General Contractors Ltd,N/A,0720903133
Bramuse General Contractors,brianomuse@gmail.com,0728141111
Brilliance Plumbing and General Contractors,brillianceplumbers@gmail.com,0722377719
Charles Njuguna General Contractors,N/A,0722733382
City Landscapes & General Contractors Ltd,citylandscapes2014@gmail.com,0712780666
Cowford General Contractors Ltd,N/A,N/A
Crown General Contractors Co,N/A,N/A
El-Noor General Contractors Limited,N/A,N/A
Furse Electrical And General Contractors Limited,N/A,N/A
Goodkiay General Contractors,N/A,N/A
Goodway General Contractors Ltd,goodway.contractors@gmail.com,0722705940
Hardy General Contractors Ltd,hardy_cont@yahoo.com,0722773735
Houseman General Contractors Ltd,N/A,0722706705
Jedy General Contractors Ltd,jedycontractors@gmail.com,0722425762
Josswa Plumber & General Contractors,jpkiruti@yahoo.com,0722351582
Jupiter Electrical and General Contractors Ltd,info@jupiter.co.ke,0722661886
Kenya Association of Building And civil Engineering Contractors,N/A,0724568324
