TARGET URL: https://www.yellowpageskenya.com/business-category/Dressmakers
Company Name,Email,Mobile
Dress African Ltd,N/A,0721252544
East Africa Embroiderie Ltd,idealke@yahoo.com,N/A
Gift Dressmaking,N/A,0727493664
Meticulous Designs,Meticulousdesigns@gmail.com,0792001396
Njambi Fashion Designers,N/A,0733703494
Topline Agencies,N/A,0724990266
True Office Products,N/A,N/A
Angura Enterprises,N/A,0713484018
Flalo Fashion,N/A,0711808966
Miski Shop,N/A,0728821733
Musoo Ladies Fashions,N/A,0721893367


TARGET URL: https://www.yellowpageskenya.com/business-category/Diesel%20Power%20Generation
Company Name,Email,Mobile
Specialised Power Systems Ltd,info@spsafrica.com,0724205532
"Orpower 4, Inc",orpower4office@ormat.com,0721337470
Specialised Power Systems Ltd,info@spsafrica.com,0724205532
Allectrify Power Solutions,info@allectrify.co.ke,0114226638
Power Innovations Ltd,info@powerinnovationsltd.com,0722207030
Safer Power Ltd,info@saferpowerltd.com,0706306328
Taico Power Kenya,info@taicopowerkenya.com,0110702425
Galaxy Brand Store,Smartprices.kenya@gmail.com,0712939925
Wells Auto Parts & Accessories,info@wellsautoparts.co.ke,0722324137
Diesel Power Company Ltd,N/A,N/A
Auto Mech Diesel Services Limited,automech@africaonline.co.ke,0722519136
Automec Diesel Equipment & Parts,N/A,N/A
Baraka Diesel & Electrical Ltd,info@barakadiesel.com,0710756554
Capital Diesel Services Ltd,N/A,N/A
Classic Diesel Service,classicdiesel17@gmail.com,0722950444
Dante Burba Ltd,shabir@danteburba.co.ke,0735455098
Daybreak Diesel,daybreak_diesel@yahoo.com,0733781641
Diesel Aut,N/A,N/A
Diesel Calibration Centre Ltd,diesellimited@gmail.com,0770234818
Diesel Inject & Electrical Service Ltd,dieselinjectltd@gmail.com,0728253054
Diesel Injection Parts,N/A,0726251868
Diesel Link Enterprises Ltd,diesellinke@yahoo.co.uk,0733722889
Diesel Parts Centre,N/A,0722842660
Diesel Ventures,dieselv38@gmail.com,0722375615
Dynamic Diesel & Electrical Engineers Ltd,N/A,0722842808
Edn George Diesel Ltd,edn_george@yahoo.com,0723319139
Ellams Products Ltd,info@ellams.co.ke,0724300099
Emco Diesel Services,jkemco@yahoo.com,0721240788
Heavy Diesel Services Ltd,heavydieselservices@gmail.com,0721492094
Ketaun Diesel Workshop Ltd,ketaundiesel@gmail.com,N/A
Kitale Diesel Automation Co.,kitalediesel@gmail.com,0721449607
Liza Diesel Services Ltd,N/A,N/A
MAN Diesel & Turbo Kenya Ltd,N/A,0733754600
Memo Diesel Plant & Civil Engineering,memodieselplantcivilengineering@yahoo.com,0720788786
Modern Diesel & Electric Service Ltd,diesel.modern@gmail.com,0720220985
Nairobi Diesel Electric Ltd,N/A,N/A
Oxford Diesel Ltd,N/A,N/A
Paramount Diesel Services Ltd,info@paramountdiesel.com,0710558844
Regional Diesel & Electrical Services,N/A,0720441088
Shiv Diesel Service Ltd,shivtechnical.paresh@gmail.com,0714009756
Sigmatts Diesel & Electrical Services,sigmattdieselelectricalservice@gmail.com,0721699122
Soni Diesel & Tractors,N/A,N/A
Technik Diesel Ltd,iky@technikdiesel.com,0700619619
Thorn Tree Products Ltd,thorntreeproducts@gmail.com,0734333292
Unique Diesel Systems Ltd,N/A,N/A
Wescol Diesel Workshop,N/A,N/A
Wilmak Diesel Service & Electric Ltd,N/A,N/A
Diesel Craft Ltd,N/A,N/A
H J Soni Diesel Works Ltd,N/A,N/A
Mechanical Diesel Services (Mombasa),N/A,0722320544
Supreme Diesel & Electrical Services,N/A,N/A
Uniflow Diesel Ltd,N/A,0722553553
Diesel Torque Services,N/A,N/A
Nakuru Diesel & Electrical Services,N/A,0731950997
Atomic Diesel Works,N/A,0722859037
California Diesel Works,N/A,0722235847
Diesel Inject Services Ltd,diesel@dieselinject.com,0722825336
Diesel & Turbo Tuners,N/A,0712699992
Eldo Diesel Tune,N/A,0722747062
Kakamega Mellenium Diesel Works,N/A,N/A
Kakamega Millenium Diesel Works,N/A,0722345337
Kham Diesel Services Garage,khamds@gmail.com,0723319115
Kitumac Diesel Works,josephmunyao260@gmail.com,0727307878
Rosky Auto Parts & Diesel Services Ltd,N/A,N/A
Satoch Diesel and Electrical Works,N/A,0735105258
Star Diesel Works Ltd,stardieselworks22@yahoo.com,0722757926
Tija Diesel & Injector Motor Works,N/A,N/A
Western Diesel & Electrical Services,N/A,0729348201
Tropical Power Kenya Ltd,hello@tropicalpower.com,0727094872
Windgen Power E.A. Ltd,N/A,0788404008
Rabai Power,N/A,N/A
Wartsila Eastern Africa Ltd - Kipevu II Power Plant,N/A,0772435041
Kenya Power,N/A,0721657187
Adventure Power Sports Ltd,N/A,0724517859
Africa Biosystems Ltd,N/A,0733723228
African Solar Power Systems,info@africansolar.co.ke,0786803233
Aggreko Kenya,N/A,0703031000
Aggreko Kenya Energy Rentals Ltd,N/A,0707000888
Aguo Power Fencing (E A) Ltd,N/A,N/A
Almajd Power Kenya Ltd,N/A,0735999111
Azuri Technologies Kenya Ltd,kenya@azuri-technologies.com,0796536063
Bare Foot Power Kenya Ltd,N/A,0728255807
Batian Power Electricals,N/A,0702410004
Biogas International Ltd,biogasinternational@yahoo.com,0722700530
Blends of Nature Ltd,emaranya@blendsofnature.co.ke,0723268000
Blessed Generation Children''s Center,N/A,N/A
Brake Horse Power Performance Ltd,N/A,0722709217
Catch Power Africa Limited,jeongreeok@gmail.com,0794161093
Chan power Auto Solution,chanpowerauto@yahoo.com,0721597695
Circuit Power Ltd,N/A,0734890089
Clarion Power Electricals,N/A,0722908795
Classic Electricals & Power Tools,N/A,0720571284
Cougar Power Controls,N/A,0722972544
Critical Power East Africa,N/A,0722766655
Cummins Cogeneration (K) Ltd,N/A,N/A
Dalet Power Solutions & Computer,N/A,0720861039
Dawan Power Hub,susanwaitherawainaina@gmail.com,0797165603
Delpro Power Solutions Ltd,N/A,0724337520
Delta Solar & Power Systems Ltd,N/A,N/A
Drip Masters,info@dripmasters.co.ke,0733131793
Dtech Power Solutions,dtechpowersolutions@gmail.com,0728971112
Eco Desh Power Solutions Ltd,ecodeshpowersolutions@gmail.com,0714777502
Eddmax Power Fence,N/A,0722725586
Egypt Power Ltd,N/A,0777421731
Electechnique Power Systems,electechnique@hotmail.com,0711123611
Electrocom Power International Ltd,electrocomint@yahoo.com,0722511753
ElPhase Power Engineering Ltd,elphasepower@yahoo.com,0723934160
Energood (EA) Ltd,energood@glosecgroup.com,0719095266
Fast Generation Ltd,fastgenerationltd@gmail.com,0705709911
Ferguson Power (E.A) Ltd,fergusonpower@yahoo.com,0733621958
Frontier Power Industries Ltd,N/A,0731980435
Gallagher Power Fence Systems Ltd,gallagher@net2000ke.com,0722700702
Gelmax Power Solutions Ltd,N/A,N/A
General Hydropower Ltd,N/A,0720000449
Generation Petroleum Ltd,N/A,0712444002
Generation Tech Agencies,N/A,0721986267
Generation Technologies Ltd,N/A,N/A
Geothermal Development Co Ltd,N/A,0719037000
God''s Power Centre,N/A,N/A
God''s Power Church & Ministries,N/A,N/A
Greenlight Planet,N/A,0731888108
High Power Express Shop,N/A,0717294627
Hiv- Free Generation,N/A,0734377717
Hoja Power Systems,N/A,0724320956
Human Power Global (K) Ltd,N/A,0714963566
Iberafrica Power (E.A) Ltd,N/A,0722205389
Ignation Power Electrical,davidtukiko@gmail.com,0729580330
Inverter Power Solutions,N/A,0733833303
Inverter Power Systems Ltd,inpower@africaonline.co.ke,0733725776
iotes ntenational Ltd,N/A,0727329524
IT Power (EA) Ltd,N/A,0722624174
Johnson Power Ltd,N/A,N/A
Kalpataru Power Transmission Ltd,N/A,N/A
Kenya Power & Lighting Training School,N/A,0733323232
kenya power pension fund,N/A,0711031020
Kwa Juma Power Tools,N/A,0722347485
Lake Turkana Wind Power,N/A,N/A
Legend Power Systems,N/A,N/A
Lemorio Energy Ventures,N/A,0700426505
Les Etoiles,N/A,0791835996
Light & Power Centre,N/A,0721551726
Lighting & Power Centre Ltd,N/A,N/A
Lintex Power Systems,info@lintexsystems.co.ke,0725717677
Mahathas Power Kings,N/A,0722579189
Manpower Services (K) Ltd,training@manpowerservicesgroup.com,0720765496
Margin Plant Services (K) Ltd,N/A,0733712725
"Marketing Power House Ltd, The",N/A,N/A
Marketpower International Ltd,theteam@marketpower.co.ke,0722202321
Mars Power,N/A,0722503337
Marula Power Poles Plant Ltd,marulapoles@gmail.com,0722734084
Master Power Systems Ltd,accounts@masterpowers.com,0705976976
Max Power Hauliers Ltd,maxpowermsa@gmail.com,0733528521
Maximal Power Electrics,N/A,0707237042
Merrimack Power Systems Ltd,merrimack2005@yahoo.co.uk,0725232871
Meta Led & Power Company,N/A,0721250775
M-pesa Generation Insight,N/A,0722557070
Mukima Hardware and Power Drill Tools,N/A,0728212451
Musoni Next Generation Microfinance,N/A,N/A
Nairobi Power Engineers Ltd,sales@nairobipower.co.ke,N/A
Nairobi Powertools Ltd,nairobiptools@yahoo.com,0721231396
Nanline Co. Ltd,N/A,N/A
Natural Power,N/A,0727340043
Neste Advanced Power Systems,N/A,N/A
New Generation Mobile Shop,N/A,0723007431
Nginu Power Engineering (EA) Ltd,N/A,0736100110
Nuclear Power & Energy Agency,N/A,N/A
Octepa Spares and Power Tools,octepa@gmail.com,0746437448
Oryx Power Ltd,N/A,N/A
Paradise Power House Ltd,kmigongo@gmail.com,0733204465
"Partnership For An HIV-Free Generation,Kenya",N/A,0734387717
Perkins Power Ltd,N/A,0721602279
Pistec Power Systems Co. Ltd,N/A,0773347024
Power Ace Machinery,N/A,0722258688
Power Chemist,N/A,0727448229
Power Controls Ltd,admin@powercontrols.co.ke,0714398937
Power Duka,N/A,0731417784
Power Engineering International Ltd,projects@peilkenya.com,0735555020
Power Generators Ltd,N/A,N/A
Power Governors Ltd,N/A,0720750363
Power Group Technologies Ltd,N/A,0728168797
Power Hire Generator Rental,N/A,0722867849
Power King (K) Ltd,N/A,N/A
Power Kings Enterprises,N/A,0722203010
Power Marc Distributers,N/A,0797733232
Power Max System Computer,N/A,N/A
Power Megger Ltd,N/A,N/A
Power Mike Security Services,N/A,N/A
Power Options,N/A,0710107939
Power Point Electricals,N/A,0722637977
Power Pro Ltd,N/A,N/A
Power Protection Ltd,accounts@powerprotection.co.ke,0723719394
Power Saw Kenya,N/A,0732728018
Power Saws & Accessories Ltd,powersaws@hotmail.com,0722298144
POWER & TECHNOLOGY Co. LTD,N/A,0722107445
Power Trucks Centre,N/A,N/A
Power Vibe Studio,N/A,0770623491
Powerex Lubricants Ltd,powerexlubricants@gmail.com,0721233050
Powergas East Africa Ltd,mary@powergas-ea.co.ke,0704914457
Powerking (Kenya) Ltd,N/A,N/A
Powerpoint Systems (E.A.) Ltd,N/A,0722155534
Powers & Renewable Energy,N/A,0713051239
Powertech Agencies Ltd,pal@powertechagencies.com,0723101652
Powertechnology Solutions Ltd,N/A,N/A
Powerware Systems Ltd,N/A,0731299045
Premium Power Ltd,info@premiumpower.co.ke,0720683562
Rasim Power & Control,N/A,0733970271
Relcon Power Systems Ltd,N/A,0703647573
Ridge Power Store,N/A,0729302830
Riello Power Solutions Ltd,thuku@riellopowersolutions.com,0733883143
Saisi Power Enterprises,N/A,0722553229
Scaddan Power Ltd,N/A,0725644500
Schneider Electric East Africa,customercare.eastafr@@se.com,0703069115
