TARGET URL: https://www.yellowpageskenya.com/business-category/Electrical%20&%20Plumbing%20Works
Company Name,Email,Mobile
Buytec Stores Ltd,sales@buytec.co.ke,0728997036
Safer Power Ltd,info@saferpowerltd.com,0706306328
Serengeti Electrical & Hardware Ltd,info@serengetiehl.com,0720988242
Thames Electricals Ltd,lnl@africaonline.co.ke,0722509285
Veko Electrical Works & Accessories,N/A,N/A
All Fridge & Electrical Works,N/A,N/A
Evaka Electrical Works,N/A,N/A
Magre Electrical Service - Metal Works,N/A,0722318251
Njane Motor Electrical Works,N/A,N/A
Noorani Electrical Hardware Store,N/A,N/A
Automation Controls Refrigeration & Electrical Works,acoreworks@gmail.com,0722758583
Getembe Electrical Services,N/A,N/A
Lenacha''s Electrical Works & Suppliers,N/A,N/A
Satoch Diesel and Electrical Works,N/A,0735105258
Josko Electricals & Plumbing Works,N/A,0728106245
Plumb Electrical Ltd,N/A,N/A
Accurate Electrical,accurate.comm254@gmail.com,0705404254
Afro Friends Electrical Services,N/A,N/A
Airplus Cooling Systems & Electrical Contractors Limited,airpluscooling@yahoo.com,0706185590
Alvitech Electrical Services & Supplies,N/A,0721124277
Alwex Electrical Services (K) Ltd Class A-1,alwexnbi@zmail.co.ke,0722410187
Ambacross Enterprises,ambacross.mathenge@gmail.com,0720681429
Amenan Electrical Suppliers Ltd,N/A,0735786024
Angelink Electrical,N/A,0720285521
Annest electrical,N/A,0726510924
Armstrong Electrical Centre,N/A,0723979091
Auto & Electro Care Ltd,autoelectro1989@gmail.com,0705430666
B K Electrical Store,N/A,0720948715
Backmart Electrical Merchants Ltd,bm.manager@powermaxea.com,0726000838
Baraka Diesel & Electrical Ltd,info@barakadiesel.com,0710756554
Baraka Electrical & Hardwares Agencies,barakaelectrical09@ymail.com,0722450694
Beam Electrical & Hardware Ltd,N/A,0722472073
Besa Electrical Company,N/A,0734193629
Bigshock Electrical & Hardware,N/A,0723783416
Bistles Electrical Stores,N/A,N/A
Bluez Electrical & Allied,N/A,0721644111
Bolt Electrical & Hardware Ltd,info@boltkenya.com,0722801898
BRACE Electrical and Hardware,N/A,0717894840
Brownee Electrical Sales & Services,N/A,0735777693
Brushing Electrical Engineering Systems,N/A,0722757594
Butapro Gas & Plumbing Works,N/A,N/A
Buwan Electrical & Electronic Supplies Ltd,N/A,0722238369
Capital Plumbing Works Ltd,capital.ke@gmail.com,0772279549
Chamlight electrical,charleskauku22@gmail.com,0715304533
Chania Electrical Co,N/A,N/A
Chenjekar Electrical Stores,chenjekar@yahoo.com,0722486082
Christopher Electrical Ltd,N/A,N/A
City General Electrical Ltd,citygeltd@gmail.com,0723866088
City Plumbing Works,N/A,N/A
Clafelley Electrical,fellycla@yahoo.com,0727734130
Cogitech Electrical & Communication Engineers,N/A,0722700877
Consumer Link Electrical Services Ltd,consumerlinkelect@yahoo.com,0722260122
"Cool Tech Electrical, Refrigeration & Air conditioning",gitare@gmail.com,0743552382
Danfax Electrical Services,N/A,N/A
Danjamu Electrical Sales & Services,N/A,N/A
Danzu Electrical Services,N/A,0733866594
Delon Electrical Sales & Services,N/A,0720999793
Diesel Inject & Electrical Service Ltd,dieselinjectltd@gmail.com,0728253054
Discovery Electrical Sales & Services,N/A,0722612152
Dynamic Diesel & Electrical Engineers Ltd,N/A,0722842808
E A Electrical Co Ltd,eae@eaeltd.com,N/A
Edwards Electrical Services,N/A,N/A
Efficient Electrical Engineers Ltd,info@eee.co.ke,0721929140
Elebuca Electrical & Hardwares,N/A,N/A
Electric Link Pan-Africa Ltd,electriclinkeastafrica@hotmail.com,0771727972
Electrical Appliance,N/A,N/A
Electrical Distributors Ltd,info@edl.co.ke,0733222235
Electrical & General Appliances Ltd,N/A,0722515000
Electrical Plus Systems (K) Ltd,N/A,N/A
Electrical Rewinders Ltd,N/A,N/A
Elvees Electrical Ltd,N/A,0707126614
Emirates Electrical & Supplies,N/A,0727675490
Emka Electrical Sales & Services,emkaews@yahoo.com,0722744845
Emukei Electrical & Hardware,N/A,N/A
Endarasha Electrical Hardware,N/A,0723958825
European Cable & Electrical Ltd,N/A,N/A
Evaden Electrical Services,evadenelectricals@gmail.com,0722721450
Fame Electrical & Services,turabalifame@yahoo.co.uk,0714579207
Farayere Electrical Ltd,N/A,0717297245
FarVision Electrical Contractors,farvisionelectricalcontractors@gmail.com,0722651774
Fellab Electrical,wambofelix@gmail.com,0720776408
Fit & Light Electrical,info@fitandlight.co.ke,0721415610
Fralimpa Electrical Services,fralimpaelectric@yahoo.com,0725235295
Frankson Electrical Engineering Co.Ltd,maitimothymuthuri2@gmail.com,0704748511
Fredgas Refrigeration & Electrical Services,fredgas@yahoo.com,0721261852
Furse Electrical And General Contractors Limited,N/A,N/A
Gabmars Electrical Sales,N/A,N/A
Gaitfield Electrical And Hardware,N/A,0721342825
Garbon Electrical & Hardware Ltd,N/A,0792789408
Genergy Electrical Limited,genergyelectrical@gmail.com,0733764467
Gentoll Electrical Sales,gentollelec@gmail.com,0722896209
Giftech Electrical,N/A,0727312054
Gikomba Electrical Supplies,N/A,N/A
Glama Electrical & Mechanical Co. Ltd,glama@marketafrica.com,0773409331
Glory Hardware & Electrical Ltd,gloryhard@gmail.com,0738939393
Hawkcy Electrical & Electronics,N/A,0733492648
Hazimi Hardware & Electrical,N/A,N/A
Hillary Shah Electricals,N/A,N/A
Hotsprings Electrical Investment,smngigi@yahoo.com,0722910306
Hyperteck Electrical Services Ltd,N/A,0715708060
Ignation Power Electrical,davidtukiko@gmail.com,0729580330
Impress Electrical Sales,N/A,N/A
Interiors Electrical & Mechanical Solutions Ltd,admin@iems.co.ke,0700358275
Jada Electrical & motocycles Parts,N/A,0727520004
Jalaram Electrical Ltd,jalaramltd@gmail.com,0725369787
Jamak Electrical,N/A,0720409065
Jepti Electrical Co.,N/A,0723446135
Jerrison Electrical Agencies,jerrisonelec@yahoo.com,0720751804
Jomuwa Hardware & Electrical Agencies,N/A,N/A
Jonka Electrical Ltd,N/A,0721989288
Josmwak''s Electrical Hardware Sales,N/A,N/A
Jumbo Electrical Services,N/A,N/A
Jupiter Electrical and General Contractors Ltd,info@jupiter.co.ke,0722661886
Kagi Electrical Services,N/A,N/A
