TARGET URL: https://www.yellowpageskenya.com/business-category/Grain%20Dealers
Company Name,Email,Mobile
Grain Bulk Handlers Ltd,gbh@grainbulk.com,0703017000
James Finlay (Kenya) Ltd,info.kenya@finlays.net,0722202366
Toyota Kenya Ltd,mombasaenquiries@toyotakenya.com,0700483153
Eastern Produce Kenya Ltd,mail@easternproduce.com,0722202469
Kenjap Motors Ltd,kenjapmotors@gmail.com,0701779941
ATL Trailers & Engineering Ltd,autocaretrailerslimited@gmail.com,0725786500
Avenue Motors Ltd,avenuemotors@mail.com,0722410969
Galaxy Brand Store,Smartprices.kenya@gmail.com,0712939925
Geocomp Systems,info@geocompsystems.co.ke,0738010275
JCL Motors,info@jclmotorsltd.co.ke,0791282727
Khushi Motors Ltd,khushimotorsltd@gmail.com,0723446511
Paceven Co. Ltd,sales@paceven.co.ke,0714220230
Sasini Ltd,info@sasini.co.ke,0705200706
Shahzad Motors Ltd,shahzadmotors@hotmail.com,0722747963
Sofa Express Engineering,sofaexpressengineering@gmail.com,0727987735
Tassia Coffee Estate Ltd,info@munga.co.ke,N/A
Truckmart (EA) Ltd,sales@leyland.co.ke,0722484697
Unique Merchandise Suppliers Ltd,info@uniquesuppliersltd.co.ke,0724580580
Arkemi Paints & Hardware Ltd,mohdirfankarim@yahoo.com,0722395077
CTL Tractor & Spare Parts Ltd,info@ctltractor.com,0721629474
Salama Millers & Grain Dealers Limited,salamamillersltd@gmail.com,0723777121
Panafrican Grain Processing Enterprise,N/A,N/A
Western Seed & Grain Co,N/A,N/A
African Grain Care Equipment Ltd,N/A,0792651980
Karindundu Grain Store,N/A,N/A
Lesiolo Grain Handlers Ltd,admin@lesiolo-grain.co.ke,0729229999
Alpha Grain Millers Ltd,N/A,0734448444
Flamingo Grain Millers Ltd,N/A,N/A
Mansion Grain,luke@mansiongrain.com,0710864147
Osho Grain Millers Ltd,alphesh@oshomillers.com,0728601111
Silver Grain Investment Ltd,N/A,0727504760
The Eastern Africa Grain Council,grains@eagc.org,0710607313
Ustawi Grain Millers,mkogada@gmall.com,0711666222
Grain & Spices Ltd,N/A,N/A
Mombasa Grain Milling Co Ltd,N/A,N/A
Bakhresa Grain Milling (K) Ltd,N/A,N/A
Menengai Grain Millers Ltd,menengaimillers@gmail.com,0725950999
Nanyuki Grain Millers,ngmillers@gmail.com,N/A
TSS Grain Millers Ltd,N/A,0721360231
Uchumi Grain Millers EA Ltd,N/A,N/A
Western Seed Co Ltd,N/A,0731234604
Accra Com Dealers,kenmungaixxp@gmail.com,0721113573
African Second Hand Tyre Dealers,N/A,N/A
Auto Dream Dealers Ltd,N/A,N/A
Auto Point Dealers Ltd,a.p.d.kenya@gmail.com,0721729500
AutoXpress Ltd,N/A,0724810000
Bahati Dealers,N/A,0725883065
Balozi Shoe Designer & Leather Dealers,N/A,0722503061
Betta Graines,info@bettagrains.com,0736023298
Bharat Industries Ltd,N/A,N/A
Burhani Hardware Dealers,N/A,N/A
Car Dealers (1969) Ltd,888ramesh.gupta@gmail.com,N/A
Chinese Huangpai,k.huangpai@aliyun.com,0721444313
Classic Household Dealers,N/A,0722579724
Clifton Motor Dealers Ltd,N/A,0707119593
CoAuto Dealers Ltd,coautodealers@gmail.com,0722446570
Commodities Kings Ltd,N/A,0729148511
Dama Scrap Metal Dealers,damametal@gmail.com,0721429376
Digital Auto Spares Dealers,digitalspares@gmail.com,0719719804
Dodi Auto Dealers,N/A,N/A
Equator Scrap Metal Dealers,N/A,N/A
Gaia Gemstone Dealers,N/A,0723991310
Iphone and Macbook Dealers,N/A,0724055980
Irura Provision Stores,N/A,0720219094
Jelly Traders,N/A,0713952259
Joystar Bargain Traders,joystar@yahoo.com,N/A
Joystar Cereals Commodities,joysstarbargain@gmail.com,0722772245
Karama Shop,N/A,0722150434
Kaycer Enterprises Kenya,kaycerent@gmail.com,0722714408
Kiamunyi Tyres Dealers & Accessories,N/A,0723684796
Kiaora Traders,N/A,0714140317
Kilima Electrical & Hardware Dealers,N/A,N/A
Kimende P Vegetax Store,N/A,0722719158
Lion Motor Dealers & Technical Institute,N/A,N/A
Luke Tents Dealers,lucasouma@gmail.com,0713316577
M K Hardware Dealers,N/A,N/A
Memsco Dealers Ltd,N/A,N/A
Millenium Dealers Ltd,pkaberia@milleniumdealers.co.ke,0717565079
Modvan Dealers And Autospares,N/A,0720365682
Motorshop Dealers,motorshopke@gmail.com,0728088739
Mumbu Scrap Metal Dealers,N/A,N/A
Mwangi Mbuthia Cycle Dealers,N/A,N/A
National Cereals & Produce Board,N/A,0722205756
New Tawa Tyres Dealers Ltd,N/A,0725149406
Peter C,N/A,0721791279
Proauto Dealers,pro-auto@wananchi.com,N/A
Rainbow Phone Dealers,N/A,0724107330
Rapid Auto Dealers,N/A,0722997823
Regional Container Dealers,regionalcondealers@gmail.com,0737921560
Riva Petroleum Dealers Ltd (nakuru),N/A,0732556978
Roma Scrap Metal Dealers,lionsumra@yahoo.com,0700726466
Ruchu Traders,N/A,N/A
Safaricom Dealers Association,N/A,0725211511
Selico Cycle Dealers,N/A,N/A
Sensations Ltd,sensations@gmail.com,0722678412
Sounds of Africa Ltd,N/A,0722778569
Sunshine General Traders Ltd,N/A,0791361240
The Holiday Dealers,Dealers@theholidaydealers.com,0706612070
Universal Motorcycle Dealers,N/A,0723278245
Wakairu Electronics Dealers,N/A,0722893671
Al Sahara Car Dealers Ltd,N/A,N/A
Mountain Tea Dealers,mountaintea@yahoo.co.uk,N/A
Shams Car Dealers,N/A,N/A
Kansar Scrap Metal Dealers,N/A,N/A
Kiamunyi Tyre Dealers,N/A,N/A
Salama Tyres Dealers Ltd,N/A,N/A
Wheat Board of Kenya,N/A,N/A
Aisha Motor Dealers Ltd,aishamotors110@gmail.com,0722834228
Chambai Grains,N/A,N/A
Ducylic Motor Dealers Ltd,dukob2009@yahoo.com,0721834701
East West Paints Dealers Kisumu,N/A,0722793281
Eldoret Grains Ltd,dola@africaonline.co.ke,N/A
Fina Petroleum Dealers Ltd,N/A,N/A
Hardware Dealers Ltd,prarshah@gmail.com,0725666666
James & Michael Tyre Dealers,N/A,N/A
Joro Auto Dealers,N/A,N/A
Kije Scrap Dealers,N/A,N/A
lees Scrap metal Dealers,N/A,0726551200
Linjoka Grocers,N/A,0703626074
Malaika Car Dealers,N/A,0701381989
Mama Junior Cereals,N/A,0723519693
Mwember Tayari Cerials,N/A,0795204782
Ndoto Scrap Metal Dealers,N/A,0720446733
Okoa Cereals Store,N/A,0720238888
Parmarco Engineering Works,N/A,N/A
Qualitrust Enterprises Co.,N/A,0725673919
Rhino S Dealers,N/A,N/A
Thika Motor Dealers (K) Ltd,N/A,0721726654
Thika Motor Dealers Machakos,N/A,0722142418
280 Investments Ltd,N/A,N/A
2M Furnitures,N/A,0729665540
3 Kings Investments Ltd,N/A,0712551259
40 mobile phones,N/A,0721408525
