TARGET URL: https://www.yellowpageskenya.com/business-category/Hardware%20-%20Manufacturers%20&%20Wholesalers
Company Name,Email,Mobile
Neff Ltd,sales@neff.co.ke,0723972023
Silverspread Hardwares Ltd,info@silverspread.com,0721156999
Arkemi Paints & Hardware Ltd,mohdirfankarim@yahoo.com,0722395077
Jobel General Hardware,info@jobelservices.co.ke,0701930876
Serengeti Electrical & Hardware Ltd,info@serengetiehl.com,0720988242
Shah Computers,saaj@shahtechsolution.com,0113219859
Aberdare Steel & Hardware Ltd,N/A,0722246255
Benways Hardware Store,benways@gmail.com,0726500600
City Steel Hardware,citysteel2015@gmail.com,0727674000
Doshi & Co (Hardware) Ltd,kpdoshi@doshigroup.com,0722776444
Global Hardware Ltd,globalhardwarekenya@gmail.com,0786456225
Gunj Hardware Ltd,N/A,N/A
Hazimi Hardware & Electrical,N/A,N/A
Heema Steel & Hardware Ltd,moscand@yahoo.com,0724960985
Hexagon Safety and Hardware Ltd,hexagonalumsteel@gmail.com,0726468307
Hydrotech Hardware Ltd,hydrotechhardware@gmail.com,0775375900
Jamstreet Hardware Traders,jacklinewambui758@gmail.com,0792134788
Karachiwalla (Nairobi) Ltd,knlsteel@africaonline.co.ke,0722878933
Kenque Hardware & Electrical,N/A,N/A
Lunga Lunga Hardware & Spares,N/A,0722201919
Marchays Decor & Hardware,marchaysdecorhardware@gmail.com,0114955533
Matt Hardware Ltd,N/A,N/A
Mau Summit Auto Hardware,N/A,0722538244
Nafuu Classic General Hardware,nafuuclassic@gmail.com,0709750409
Parklands Hardware & General Stores,N/A,N/A
Prime Timber Hardware,karanjaezekiel@yahoo.com,0725929082
Coast Timberland Hardware Ltd,N/A,0722426848
Fairdeal Hardware Ltd,hwshowroom@fairdealgroup.biz,0738341750
Kenland Hardware & Tools Ltd,N/A,N/A
Primavera Hardware,N/A,N/A
Qutbi Hardware,N/A,N/A
Amar Hardware Ltd,N/A,0715169200
Baba Hardware & General Store Ltd,N/A,N/A
Beta Hardware & Supplies Ltd,N/A,N/A
Brasco Hardware,N/A,0113095504
Davis Plumbing Hardware Ltd,davisltd2@gmail.com,0722934522
