TARGET URL: https://www.yellowpageskenya.com/business-category/International%20Trade%20Consultancy
Company Name,Email,Mobile
European Investment Bank,nairobi@eib.org,0702945901
Kenyatta International Convention Centre,info@kicc.co.ke,0724256023
Ham International,info@haminternational.co.ke,0720613502
AGS Frasers International Removals,ags-kenya@agsmovers.com,0770513186
AGS Frasers International Removals,ags-kenya@agsmovers.com,0770513186
Dataline International Ltd,info@dataline.co.ke,0759308890
Golden Star International School,astarhighschool254@gmail.com,0798176687
International Center for Tropical Agriculture (CIAT),infociatkenya@cgiar.org,0721574967
International House Ltd,ihbc@ihlkenya.com,0722204710
International Institute of Rural Reconstruction,admin@iirr-africa.org,0736307210
Jaconinos International Limited,info@jaconinos.com,0722117129
Kickstart International Inc (Approtec),kickstart@kickstart.org,0725790050
Mushus International (K) Ltd,sales.ke@mushusgroup.com,0740123456
Northern Corridor Transit Transport Co-Ordination Authority (NCTCA),ttca@ttcanc.org,0729923574
Transparency International Kenya,transparency@tikenya.org,0722296589
Consumer Unity & Trust Society-Center for International Trade Economics & Environment,nairobi@cuts.org,0733990202
International Foreign Trade Co Ltd,N/A,0717228863
International Legal Consultancy Group,N/A,0774239754
The Agricultural Society of Kenya,chiefexecutive@ask.co.ke,0738345333
Egyken International Exhibitions Ltd,N/A,0721257138
Express International Traders,N/A,N/A
Apostolic Church International Fellowship of Kenya,N/A,0711282287
Mafleva International Ltd,N/A,0772688023
Nzoka International,N/A,0723810922
Pie International Education Services Ltd,info@pie-ies.com,0735993999
Fox International Logistics Ltd,msa@foxlogistics.co.ke,N/A
Huaye International Logistics Co.Ltd,yuxiziafric@gmail.com,0718345407
Meximed International (K) Ltd,N/A,0727484084
ABC International Cargo Logistics Ltd,N/A,0716065690
Able Ways International Limited,N/A,0721401957
ABNO Softwares International Ltd,N/A,0705597336
Access International,N/A,N/A
Action Contre La Faim (ACF),acf.somalia@acfsomalia.org,N/A
Action Insurance Agency,N/A,0720841184
ActionAid International (Africa) Regional Office,admin.africa@actionaid.org,0736860000
ActionAid International Kenya,info.kenya@actionaid.org,0722518220
"Adam Smith International, Africa",info@adamsmithinternational.com,0719322744
ADCC International East Africa LTD,vikas@adccinfocad.com,0780111559
Adra International Ltd,md@adraintl.com,0724635735
Affinity International Inc,affinityusa@gmail.com,0721283178
Afrex International Ltd,N/A,N/A
Afriasia International Shipping & Logistics Ltd,info@afriasiaintl-logistics .com,0723038752
Africa Businesshub International,N/A,0729056827
Africa Harvest Biotech Foundation International,kenya@africaharvest.org,0724256977
Africa Inland Mission International Services,N/A,0733687053
Africa International University (NEGST),admissions@africainternational.edu,0715247540
Africa K-Link International Ltd,N/A,N/A
Africa Management Communications International Ltd,N/A,0709811000
African Centre For International Studies,N/A,N/A
African Flora International,N/A,N/A
African Resort International,N/A,0704225599
African Union International Bureau for Animal Resources,N/A,N/A
AfricarTrack International Ltd,info@africartract.com,0733489632
Afri-China International Co (K) Ltd,N/A,N/A
Afriken International Ltd,vishal@tank-group.com,N/A
AG Group International Ltd,N/A,0722200716
Agala International Distributors,N/A,N/A
Aggrenne International Ltd,info@aggrenneinternatinal.com,0721278070
Agmond International,info@agmondinternational.com,0724649812
Agrowing International Counseling Services,N/A,0752509677
Aim International Pharmaceutical Co Ltd,N/A,0721713604
Ain International Limited,N/A,0721334125
Airtravel International Ltd,N/A,N/A
Alison Caroline Institute International,N/A,0733848567
Alliant International Ltd,N/A,N/A
Allwin Packaging International Ltd,N/A,0737908549
Alpha Impex Logistics International Ltd,N/A,0722588391
Alphacreative Designs International,hello@alphacreative.co.ke,0724992281
"Alshira International Travel, Tourism & Recruitment Agency",N/A,0717666202
Altavista International Ltd,N/A,N/A
Alykay International Ltd,N/A,0769898507
Amak International,N/A,0735129430
American Center For International Labor Solidarity,N/A,0733333244
Ameritrans Freight International Ltd,N/A,N/A
Amnesty International Kenya,amnestykenya@amnesty.org,N/A
Amplus International Ltd,info@amplusinternational.com,0723507050
Amurt International,N/A,0733683333
Andrew Crawford Productions International Ltd,N/A,N/A
Angels International School,N/A,0777124250
Animalia International Ltd,N/A,0724004502
Anset International Ltd,africa@ansetintl.com,0770208739
Apo Tipat International Company,apontipat.3d@gmail.com,0721739077
Apostolic Revival Church International,N/A,0705236345
Aquafund International Trust,N/A,N/A
Aquatech International,N/A,N/A
Arch-Link International Ltd,archlinkinternationalltd@gmail.com,0707449642
Arigatou International,N/A,0733945972
Ashbro International Ltd,N/A,0716727880
Atelier International Architects,N/A,0728270412
Atlantic Displays International Ltd,N/A,N/A
Atlantic Logistics International Limited,N/A,0716309280
Atlas International Ltd,sales@healthywoman.co.ke,0707521103
Australian Education Consultants Ltd,info@aec-australia.com,0722859578
