TARGET URL: https://www.yellowpageskenya.com/business-category/Joinery%20Works
Company Name,Email,Mobile
Kelco Aluminium Works Ltd,info@kelcoalu.com,0722519048
"Ministry of Transport, Infrastructure, Housing, Urban Development & Public Works",ps@housingandurban.go.ke,N/A
State Department For Public Works,info@publicworkskenya.com,N/A
Kenya Clay Products Ltd/Manson Hart,info@kcp.co.ke,0722670802
Hatimi Joinery Works Ltd,N/A,0771243136
Jagjit Joinery Works Ltd,N/A,N/A
U G Timber Joinery & Engineering Works Ltd,N/A,0722840600
Essbee Joinery Furniture Ltd,essbee10@yahoo.com,0721504041
Gopi Furniture & Joinery Ltd,gopi17817@yahoo.com,0733605528
Kapil Timber & Joinery Ltd,kapiltimber@gmail.com,0722338727
Kiwelu Joinery,N/A,N/A
Makupa Joinery Ltd,makupajoinery@gmail.com,0753573494
82 Creative Works,N/A,0715610326
Adorn Metal Works,adornmetals@yahoo.com,0722568575
Advance Litho Ltd,N/A,N/A
Africa Metal Works Limited,N/A,0722718407
Airworks (K) Ltd,N/A,N/A
All Fridge & Electrical Works,N/A,N/A
All Metal Engineering Works Ltd,N/A,N/A
All Vehicle Engineering Works,N/A,N/A
Alliance Steel Works Ltd,maisha@wananchi.com,0735881555
Amandeep General Works,amandeepsingh569@yahoo.com,0725714575
AMM Engineering Works Ltd,N/A,0733827784
Amuok Engineering Metal Works,N/A,0722844957
Amwa Engineering Works,N/A,N/A
Angaza Youth Works,N/A,N/A
Anginda Engineering Works Ltd,N/A,0733834686
Aqua Drilling and Civil Works Co. Ltd,N/A,0704263862
Arcon Works Ltd,N/A,0703316057
Arrow Engineering & Welding Works,N/A,N/A
Art Metal Works,artmetal@gmail.com,0710306649
Assi Engineering & Construction Works Ltd,N/A,0722747398
Assurance Auto Works Ltd,assuranceautoworksltd@gmail.com,0728583368
Astra Motor Vehicle Works Ltd,N/A,0722456065
B. D. Engineers Ltd,N/A,0722843501
Baba Hardial Singh G Eng. Works,N/A,0733737844
Bagga Engineering Works,N/A,N/A
Bahra Engineering & Metal Works Co,N/A,N/A
Bath & Body Works Kenya,N/A,0722656547
Beacon Engineering Works Ltd,N/A,0722728514
Bernard Kiunuhe Welding Works,N/A,0720383118
BHS Steel Works,N/A,0721984330
Bhundia Eng Works,N/A,N/A
Bill Engineering Works Ltd,N/A,0720866677
Brand Logic Print Works,N/A,0705482738
Bridgeport Woodlands Engineering Works,N/A,N/A
Budhia Engineering Works Ltd,N/A,N/A
Burdev Engineering & Construction Works,N/A,N/A
