TARGET URL: https://www.yellowpageskenya.com/business-category/Laboratories%20-%20Dental
Company Name,Email,Mobile
Cerba Lancet Kenya Ltd,info@lancet.co.ke,0736493100
Cerba Lancet Kenya Ltd,N/A,N/A
Advanced Care Dental Center,info@advancedcare.co.ke,0709746443
Abdallah & Associates Dental and Implant Centre (CBD),abdallahandassociates@gmail.com,0715777457
Abdallah & Associates Dental and Implant Centre ( Parklands ),abdallahandassociates@gmail.com,0715777457
All Smiles Dental Practice Ltd,allsmiles_upperhill@yahoo.com,0725151471
Century Dentistry,info@centurydentistry.co.ke,0700601315
Dentplan Dental Surgeons,dentplan@swiftkenya.com,0720285946
Garden Family Dental Clinic,gardenfamilydental@hotmail.com,0707459099
Mirage Dental Clinic,elmiragedental@gmail.com,0726202507
Rycedental Supplies Ltd,rycedentalsupplies2000@yahoo.com,0721401864
Yaya Dental Centre,yayadentalclinic@gmail.com,0723934728
Sequel Dental Laboratories,N/A,0713078442
Victoria Dental Laboratories,N/A,N/A
Adola Laboratories,adolalaboratories@gmail.com,0721484794
Alkem Laboratories Ltd,alkem.kenya@yahoo.com,0703508557
Aqualytic Laboratories Ltd,lab@aqualyticlab.com,0722547344
Bio-Analytical Medical Laboratories,N/A,0733787427
Biodeal Laboratories Ltd,info@biodealkenya.co.ke,0720333829
Bio-Medica Laboratories Ltd,N/A,0727034566
Biotec Laboratories (K) Ltd,sales@bioteclabk.co.ke,0723372059
Bipdeal Laboratories Ltd,N/A,N/A
Carzan Cultures & Laboratories Ltd,N/A,N/A
Central Medical Laboratories Ltd,N/A,N/A
Central Testing Laboratories Ltd,N/A,N/A
Colorama Processing Laboratories Ltd,N/A,N/A
Corner House Medical Laboratory Co Ltd,N/A,0722880070
Detox International Laboratories Ltd,N/A,0733707077
Esem Laboratories (Africa) Ltd,N/A,N/A
Express Medical Laboratories Ltd,N/A,0721177823
Focus Medical Maternity & Laboratories,N/A,0722703512
Global Laboratories,N/A,N/A
Highway Laboratories Chemicals & Equipment,N/A,N/A
I. P. A. Laboratories Ltd,N/A,N/A
Ipca Laboratories Ltd,ipcakenya@gmail.com,0725988735
K. K. Shah Laboratories,kkshahlabs@hotmail.com,0733566412
Kabete Veterinary Laboratories,veterinarydepartment@yahoo.com,N/A
Lifeline Laboratories Ltd,N/A,0713305305
Medipath Laboratories (K) Ltd,medipathlabs@gmail.com,0753302000
Microhub Laboratories Ltd,N/A,0727842927
Nairobi Clinical Laboratories,N/A,N/A
Nairobi Laboratories (A) Ltd,hebb@bidii.com,0727113422
Nuovo Laboratories Ltd,nuovo.laboratories@gmail.com,0720141804
Pace Laboratories,N/A,0722932674
Pathogen Laboratories Ltd,pathogen@yahoo.com,0736568845
Pfizer Laboratories Ltd,N/A,0721897552
Pharmatis Laboratories Ltd,N/A,0739828822
Planet Laboratories Ltd,planetlaboratories@gmail.com,0712376194
Ranbaxy Laboratories Ltd,N/A,N/A
Rentokil Initial Kenya Ltd,info-ke@rentokil-initial.com,0722898947
Search Medical Laboratories Ltd,N/A,0725346897
Vanguard Colour Laboratories Ltd,N/A,N/A
Pwani Medical Clinic,N/A,N/A
Rol Medical Laboratories Ltd,N/A,N/A
American Clinial & Cytopathology Laboratories Ltd,americanclinical@gmail.com,0715481817
Boma Laboratories Ltd,N/A,N/A
Cendco Laboratories Ltd,N/A,0720431580
Colorama Laboratories Eldoret,sairama18@yahoo.com,N/A
Daima Medical Laboratories Ltd,daimamedicallaboratiories@gmail.com,0700665098
Dynapath Medical Laboratories,dyanapathmeds@yahoo.com,0733843454
