TARGET URL: https://www.yellowpageskenya.com/business-category/Quarries
Company Name,Email,Mobile
Kenya Marble Quarries Ltd,sales@kenyamable.co.ke,0722202330
Gami Quarries Ltd,N/A,N/A
Halai Concrete Quarries,vinuhalai@hotmail.com,0722805932
Handy Quarries Ltd,N/A,N/A
Bazzonell Investments,N/A,N/A
Janki Enterprises Ltd,jankiltd@gmail.com,0724343107
Ravji M. Patel,N/A,N/A
Mavji Govind & Co,N/A,N/A
Cheramgoi,cheramgoi653@gmail.com,0718767460
Mosoriot Quarry Ltd,N/A,N/A
Mwaluko Suppliers,N/A,0722387547
Ndugu Transport Co Ltd,admin@ndugutransport.com,0722205606
Sheng Shuang Quarry Ltd,N/A,0713108900
Sirikwa Quarry Ltd,N/A,N/A


TARGET URL: https://www.yellowpageskenya.com/business-category/Quality%20Assessment%20Services%20-%20Medical%20Laboratories
Company Name,Email,Mobile
Quality Modern Hospital,qualitymodernltd@gmail.com,0711161164
Intertek,info.nairobi.gs@intertek.com,0714900397
PwC,pwc.kenya@ke.pwc.com,N/A
PwC,pwc.kenya@ke.pwc.com,N/A
Cerba Lancet Kenya Ltd,info@lancet.co.ke,0736493100
"Zamara Actuaries, Administrators & Consultants Ltd",Customercare@zamara.co.ke,N/A
Amex GBT Kenya - Elite Travel Services Ltd,admin@ke.hrgworldwide.com,0711077000
Frejed Engineering Services Ltd,info@frejed.co.ke,0101441535
Kenya Postel Directories Ltd,info@yellowpageskenya.com,0722206918
Lee Funeral Services Ltd,lfsint@africaonline.co.ke,0722401861
Midas Auto Service Centre Ltd,service@midasautoservices.com,0727991998
Middle East Bank Kenya Ltd,ho@mebkenya.com,0111183000
Nairobi Projectors Services Ltd,info@nairobiprojectors.com,0722517554
Oracle Technology Systems Kenya Ltd,info@oracle.com,N/A
"Zamara Actuaries, Administrators & Consultants Ltd",Customercare@zamara.co.ke,N/A
Bulls Security Services,bullsec2000@yahoo.com,0799951389
Amiken Ltd,amiken@amikenltd.com,0713213399
ARS (Air Royal Services ) Travel & Tours Ltd,travel@arskenya.com,0714852302
Bemutech Technical Services,business@bemutech.co.ke,0723296551
Bomu Hospital,bomuhospital@mkomani.org,0722574755
Crystal Gardens Landscape & Gardening Services,creativeoutdoors@gmail.com,0722447283
Delights Funeral Directors,delightsfd@gmail.com,0712756180
Digital Sanitation Services,digitalsanitation@gmail.com,0722764677
Doralds Manpower Services Ltd,info@doraldsmanpower.co.ke,N/A
Elevator General Services Ltd,egselevator@gmail.com,0736433425
Fastline Express Services Ltd,info@fastline-express.com,0720035138
Glosec Services Ltd,Nairobi.glosec@gmail.com,0723345699
Joinda Security Services Ltd,joindasecltd@gmail.com,0722753259
Kanga Security Services,mngale55@yahoo.co.uk,0721703836
Kasindi Holdings Ltd,info@kasindiholdingsltd.com,0726043059
Kenwan Services Ltd,sales@kenwan.co.ke,0728900121
Kericho Veterinary Services,doc.njoroge1960@gmail.com,0722751663
Kisumu Medical & Education Trust,info@kmet.co.ke,0710806160
Ministry Of Water & Sanitation,ps@water.go.ke,N/A
Mololine Services Ltd,info@mololineservicesltd.co.ke,0795533855
Nyali Air Conditioning & Refrigeration Services Ltd,info@nyaliaircon.co.ke,0722188299
One Planet Publishing & Media Services Limited,info@oneplanetpublishing.com,0792532441
Rova Security Services Ltd,rovalimited@gmail.com,0702036336
Shep Engineering Services Ltd,info@shepengineering.co.ke,0721876252
Siloam Hospital,Infodesk-siloamhospital@gmail.com,0729692010
Vabela Geoconsult & Services Ltd,info@vabelaconsult.co.ke,0710251028
Vaccipharm Medical Centre Ltd,info@vaccipharmmedicalcenterkenya.com,0723779149
Wailler Security Services,waillerssltd@gmail.com,0725963490
Water Services Regulatory Board,info@wasreb.go.ke,0709482000
Huqas (Human Quality Assessment Services),N/A,N/A
Crown Quality Services,gadregirish@yahoo.com,0733798020
Three Quality Services,info@3qs.co.ke,0787198981
Analytical Quality Services (E.A) Ltd,analyticalqualityservices@yahoo.com,0718205006
Nakuru Quality Water & Sewerage Services Co Ltd,N/A,N/A
Quality Services Ltd,qservicesltd@yahoo.com,0711523844
Samsons Quality Auto Services,N/A,0721399166
Al-Hijra Medical & Lab Services,N/A,N/A
New Sonic Quality Inspectors Ltd,N/A,0722736075
Ngara Medical & Laboratory Services,N/A,N/A
Quality Experts Ltd,N/A,0713036476
Sonic Quality Inspectors Ltd,sonicinspections@yahoo.com,0722732142
Taqwa Medical & Laboratory Services,N/A,0720770453
Tumaini Medical Labs & Ultrasound Services,N/A,0733221221
Community Medical & Lab Services,N/A,0723824951
Frame Medical Clinic & Lab Services,N/A,0725651969
Frank Quality Insurance Agency Limited,frankqualityent@gmail.com,0721362425
Kitui Medical Lab Services,N/A,0722234799
Kitui Quality Medicare Clinic & Nursing Home,wmuthoka37@gmail.com,0720236977
Quality Inspectors Ltd,N/A,0701839985
St. Lavina Medical & Laboratory Services,jindeche09@yahoo.com,0721412302
Ace medical services,N/A,0722618600
Al-Jazeera Pharmacy & Medical Services,abaasy0722@gmail.com,0722728046
Amiable Quality Products,N/A,0720551718
Ben Nabad Galto Medical Services,N/A,N/A
Benflo Quality Honey,benfloconsultants@yahoo.com,0721239195
Best Quality Enterprise,N/A,0725717898
Bilal Medical Clinic & Laboratory Services,bilal-ke@yahoo.com,0721269745
Bio-Analytical Medical Laboratories,N/A,0733787427
Bio-Medica Laboratories Ltd,N/A,0727034566
Bliss Quality Human Hair,N/A,0712222907
Board of Registration of Architects & Quality Surveyors,baraqs@gmail.com,0726243005
