TARGET URL: https://www.yellowpageskenya.com/business-category/Structural%20and%20Material%20Engineers
Company Name,Email,Mobile
Specialised Power Systems Ltd,info@spsafrica.com,0724205532
Abdallah & Associates Dental and Implant Centre (CBD),abdallahandassociates@gmail.com,0715777457
Abdallah & Associates Dental and Implant Centre ( Parklands ),abdallahandassociates@gmail.com,0715777457
And Beyond (K) Ltd,info@andbeyond.com,0722653398
Dunstone Consulting Engineers,info@dunstonengineers.com,0722724508
Eden Transport And Logistics Ltd,info@edentransport.co.ke,0712228338
E-Light Cargo and Clearing Co. Ltd,info@e-lightcargo.com,0799409060
Hillten Tours and Travel,info@hilltentravels.com,0727476617
Hydro Drill and Pump Solutions Limited,hydrodrillsolutions@gmail.com,0722233600
Kenya Vision 2030 Delivery Secretariat,info@vision2030.go.ke,N/A
Lemco Motors and Insurance,info@lemco.co.ke,0724434846
Lush Engineering Co Ltd,info@lushengineers.com,0722980866
Ministry of Labour and Social Protection,info@socialprotection.go.ke,N/A
Ministry of Sports Culture and Heritage,csoffice@sportsheritage.go.ke,0738309871
Momanyi And Manyoni & Advocates,momanyimanyoni@gmail.com,0710468462
Plastics & Rubber Industries (2005) Ltd,plastrub@gmail.com,0723312801
Shep Engineering Services Ltd,info@shepengineering.co.ke,0721876252
Standard Chartered Bank Kenya Ltd,talk.to-us@sc.com,0703093900
Standard Chartered Bank Kenya Ltd,talk.to-us@sc.com,0703093900
Standard Chartered Bank Kenya Ltd,talk.to-us@sc.com,0703093900
Standard Chartered Bank Kenya Ltd,talk.to-us@sc.com,0703093900
Top Mast Engineers,sales@topmast.co.ke,0722229532
Topma Tours and Safaris,info@topmatoursandsafaris.com,0111318596
Axtron Ltd,sales@axtronltd.co.ke,0722273229
Kichaka Tours & Travel,Info@kichakatours.com,0791800525
Primal Facilities Management,bensonmacharia55@gmail.com,0714045217
Primkett Visa & Travels,hello@primketttravels.com,0722518651
Standard Chartered Bank Kenya Ltd,creditcards.kenya@sc.com,0703093900
Bushtroop Tours & Safaris,bookings@bushtroop-safaris.com,0722802513
Dry Construction Ltd,info@dryconstruction.co.ke,0728666685
Edvik Consulting Kenya Ltd,info@edvikconsulting.com,0794347689
Elida E.A. Industries,elidaplastics@gmail.com,0716950588
Frejed Engineering Services Ltd,info@frejed.co.ke,0101441535
Kangaroo Brands Ltd,shoecare@kangaroo.co.ke,0711902460
Leather Upholstery Ltd Embakasi,leatherandfabricltd@gmail.com,0790148198
Leather Upholstery Ltd Gikomba,leatherandfabricltd@gmail.com,0790148198
Martim & Company Advocates,Info@martimlaw.co.ke,0774668064
Mashiya & Associates,info@mashiyaandassociates.com,0724366349
Middle East Bank Kenya Ltd,ho@mebkenya.com,0111183000
Ministry of Lands & Physical Planning,info@ardhi.go.ke,N/A
Safer Power Ltd,info@saferpowerltd.com,0706306328
Skynicrobuilders Ltd,skynicrobuilders254@gmail.com,0742310678
Twinkle Star Tours & Safaris,info@twinklestartours.com,0723579916
Vabela Geoconsult & Services Ltd,info@vabelaconsult.co.ke,0710251028
Bomaque Structural & Mechanical Fabricators Ltd,strumecheng@gmail.com,0723059492
Structural Ventures Ltd,N/A,0725882612
