TARGET URL: https://www.yellowpageskenya.com/business-category/Textile%20Manufacturers
Company Name,Email,Mobile
All Globaltex Ltd,allglobaltexlimited@gmail.com,0759885568
NVS Kenya Ltd,sylvia.mbagu@novartis.com,N/A
Associated Battery Manufacturers (EA) Ltd - Plastics Divison,customercare@precisionplastics.co.ke,0722201371
Kartasi Industries Ltd,info@kartasi.com,0721262999
Millbrook Garment,sales@millbrookgarment.com,0787222111
Neff Ltd,sales@neff.co.ke,0723972023
Pegler Paints Ltd,info@peglerpaints.co.ke,0714888000
Ratos Kenya Ltd,gmekala@ratoskenya.co.ke,0729727121
Kangaroo Brands Ltd,shoecare@kangaroo.co.ke,0711902460
Champion Radiators,champrad@yahoo.com,0722201336
Devyani Food Industries Kenya,info@sall.co.ke,N/A
Geocomp Systems,info@geocompsystems.co.ke,0738010275
Kichewa Trading & Agencies Ltd,kichewa@gmail.com,0722708071
Oline Retreads Ltd,olineho@gmail.com,0722431407
Silverspread Hardwares Ltd,info@silverspread.com,0721156999
Universal Insulators Ltd,universalinsulators@plastrub.com,0723312801
Vision Fashion Ltd,info.visionfashionltd@gmail.com,0723257795
Brenntag Kenya Ltd,info@brenntag.co.ke,0722855078
Quickpack Ltd,info@quickpack.co.ke,0720475998
Umoja Rubber Products Ltd,info@umojarubber.com,0722204994
Bhupco Textile Mills Ltd,N/A,N/A
Sunflag Textile & Knitwear Mills Ltd,N/A,0724214355
United Textile Industry (K) Ltd,N/A,N/A
Acme Textile Ltd,N/A,N/A
Shawaz Textile Mills Ltd,N/A,N/A
United Textile Industries,N/A,N/A
Alimag Textile & Design,N/A,0720632644
Arrival Textile Center,N/A,0721874180
Bin Diwal Textile Shop,N/A,0722309049
Kezzy textile Scorpio,N/A,0720805726
Malinda Textile Ltd,N/A,N/A
Megatec Engineering Ltd,N/A,N/A
Nairobi Textile Centre Stall-344,N/A,0716370100
Nairobi Textile Stall-121,N/A,0722380613
Nobile Textile Industries Ltd,N/A,N/A
Nyakio Textiles Agencies,N/A,N/A
Simoniz Textile Store,N/A,0722659061
Sunrise Textile & Knitwear Mills,N/A,N/A
Teejay Textile,N/A,0722461318
Textile Communication,joshpaul@gmail.com,0722704904
Textile Dye Stuff Ltd,N/A,N/A
Textile Tailoring,N/A,0729953767
Triaco Fine Textile Products Ltd,N/A,N/A
Vision Textile,N/A,0723729018
Wisetex Textile,N/A,0722354162
Bintex,N/A,N/A
Abashekh Textile,N/A,0702660044
Amani Textile,N/A,0711523590
Bintex textile merchants,N/A,0722147308
Kargo Textile & Apparel Machines Co,N/A,0722613823
Tailors & Textile Workers Union,N/A,0716627471
Top Textile Wedding Dress,N/A,0726926043
Tudor Textile,N/A,0724200304
Kenwear Garment Manufacturers,N/A,N/A
Africa Collect Textiles,info@africacollecttextiles.com,0737215319
Africa Rubber Stamps & Company Seals Manufacturers,afristamps@yahoo.co.uk,0721770395
Alankar Industries Ltd,N/A,0733324580
Alpha Medical Manufacturers Ltd,accounts@alphamedicalafrica.com,0752323398
Arax Mills Ltd,araxmills@yahoo.com,0722701139
Associated Battery Manufacturers (E A) Ltd,batman@abm.co.ke,0722206887
Association of Kenya Feed Manufacturers,N/A,0706413607
Automotive & Industrial Battery Manufacturers (K) Ltd,voltmast@africaonline.co.ke,0721435703
Bags & Balers Manufacturers (K) Ltd,N/A,0734651711
Bima Manufacturers Ltd,N/A,N/A
Brush Manufacturers Ltd,teepee@brush.co.ke,0722513484
Captain Motorcycle Manufacturers Ltd,N/A,0727139666
Carton Manufacturers Ltd,N/A,0724259897
Cement Plant Manufacturers,N/A,0738402822
Chui Manufacturers Ltd,N/A,0729439466
Classic Soles & Shoes Manufacturers,N/A,N/A
Creative Manufacturers Ltd,creativemanufacturersltd@yahoo.com,0722205206
Dirtex Manufacturers Ltd,N/A,N/A
Emaan Enterprises Ltd,N/A,N/A
Fine Spinners Ltd,srinivas@finespinners.co.ke,0736601213
Five Star Manufacturers,fivestarindltd@gmail.com,0733484733
Friendship Container Manufacturers Ltd,N/A,0722206990
Hydraulic Hoses & Pipe Manufacturers Ltd,N/A,0753497309
Kamba Manufacturing (1986) Ltd,N/A,0773182508
Kato Manufacturers Ltd,ketanshah013@gmail.com,0722294207
Kemta Manufacturers,N/A,N/A
Ken Knit (K) Ltd,N/A,N/A
Kenafric Diaries Manufacturers Ltd,amit@kenafricdiaries.co.ke,0722209679
Kenpoly Manufacturers Ltd,N/A,0722723700
Kenya Association of Manufacturers,N/A,0706612384
Kenya Suitcase Manufacturers Ltd,sales@kenyasuitcase.com,0733208684
Kings Manufacturers Ltd,N/A,0742418365
Kisumu Banco Manufacturers Ltd,N/A,N/A
Komal Manufacturers Limited,komal_ltd@yahoo.com,0721375247
Makucrafts Furniture Manufacturers,N/A,N/A
Mann Manufacturing Co Ltd,mann@nbnet.co.ke,0720821544
Manufacturers & Suppliers (K) Ltd,N/A,0713634795
Metal Crowns Ltd,contactus@metalcrowns.com,0722209648
Natural Stone Tiles,N/A,0789120160
Olympic Manufacturers Ltd,olympic@wananchi.com,N/A
Oswal Manufacturers,N/A,N/A
Pipe Manufacturers Limited,N/A,0733615328
Rainbow Manufacturers Ltd,N/A,0733947352
Rose Wood Furniture,N/A,0720413786
Seem Textiles,N/A,N/A
Shri Ganesha Manufacturers Ltd,sgmlkenya@yahoo.com,0725999491
Silentflow Exhaust Manufacturers Ltd,silentflowem@gmail.com,0774135011
Silver Star Manufacturers Ltd,N/A,0713661888
Specialised Towel Manufacturers Ltd,stm@swiftkenya.com,0713439373
Stallion Stationery Manufacturers Ltd,kenyakenya2012@gmail.com,0737608301
Sun Pride Garments Ltd,sunpridegarments4@gmail.com,0724849222
Super Manufacturers Ltd,info@super.co.ke,0722611211
Thika Cloth Mills Ltd,N/A,0723410200
Tin Can Manufacturers Ltd,contactus@tincan.co.ke,0722209648
Umoja Manufacturers Ltd,N/A,N/A
United Garments Manufacturers Ltd,N/A,0720901625
Uzuri Manufacturers Ltd,N/A,N/A
Vaja''s Manufacturers Ltd,admin@vajas.com,0716152802
Weaver Bird Garments Manufacturers,N/A,0724089655
Ametaa Textiles,N/A,N/A
Interfashions Garment Manufacturers,N/A,N/A
Kenya Shirts Manufacturing Co,N/A,N/A
Mombasa Towel Manufacturers Ltd,N/A,N/A
Packaging Manufacturers (1976) Ltd,amersi@africaonline.co.ke,N/A
Raichand Lakhamshi & Sons,N/A,0722787994
Safety Boot Manufacturers Ltd,N/A,N/A
Springs Manufacturers Mombasa Ltd,N/A,N/A
Summit Fibres Ltd,sfl@africaonline.co.ke,0733961704
T/Anew Mattress Manufacturers,N/A,N/A
Tawakal Manufacturers Ltd,N/A,N/A
Nakuru Industries Ltd,N/A,N/A
Spin Knit Ltd,N/A,N/A
Auto Spring Manufacturers Ltd,N/A,0770458832
Beam Stores & Food Manufacturers,N/A,N/A
Bedi Investments Ltd,sati@bedi.com,0722202909
Chania Feeds Manufacturers Ltd,chaniaflour@wananchi.com,0710707684
East African Garment Factory Ltd,N/A,N/A
Gees services on Wheels Ltd,N/A,0702261806
Golden Light EPZ Ltd,N/A,N/A
Gudhka Textiles,N/A,N/A
Kamyn Industries Ltd,socks@kamyn.co.ke,0722206481
Kega Fashions (K) Ltd,N/A,N/A
Kenya Assurance of Manufacturers,N/A,N/A
Kenya Vehicle Manufacturers Ltd,N/A,0722205168
Mjengo B Contractors & Transporters Balast Manufacturers,N/A,N/A
Nanyuki Spinners & Weavers,N/A,0720220899
Rivatex (East Africa) Ltd,N/A,N/A
Salama Clothing Manufacturers,N/A,N/A
United Bags Manufacturers Ltd,info@unitedbags.co.ke,0725545520
Aliam fabrics,alicengethe9@gmail.com,0722767052
Cate Textiles,N/A,0732834494
Ladies Emporium & Co.,N/A,0733244591
"Mutua, Veronica Mutheu",N/A,0721731484
+254 Furniture,N/A,0714790000
Aberdare Steel & Hardware Ltd,N/A,0722246255
Abrasive & Tools (A) Ltd,N/A,N/A
Accacia Court Limited,N/A,N/A
Adorn Metal Works,adornmetals@yahoo.com,0722568575
Afri Fashions Ltd,afrifashions@yahoo.com,N/A
African Leather Ltd,N/A,N/A
Afriken International Ltd,vishal@tank-group.com,N/A
Afrocity Tobacco Distributors Ltd,N/A,N/A
Aircool Refrigeration,aircool849@yahoo.com,0722782617
Akams Wear,N/A,0722395545
Al Mahra Industries Ltd,almahraindltd@yahoo.com,0712588288
Alane Pharmaceuticals,N/A,0722883495
Alfa Coate Industries,N/A,N/A
Alliance Garment Industries Ltd,alliance@alliancegarment.com,0728607632
Alloytech General Supplies,alloytechsupp@gmail.com,0722723336
Allybaba Furnishers,allyfurnishers@gmail.com,0716466014
Alpha Seats & Fitting,N/A,0721930710
Amazing Grace Furnitures,N/A,0720301626
Ambar Enterprises,N/A,0722514954
Ameriken Ltd,N/A,N/A
Aminikfurnitures,kelvinmaina66@gmail.com,0700194708
Amit Wholesalers,N/A,N/A
Amrit Enterprises,rajupshah2@yahoo.com,0722526924
Anchor Foot Wear,N/A,0722625255
Anchor Safety & Equipment Ltd,info@anchorsafety.com,0722209143
Angels Delite Two Thousand Ltd,N/A,N/A
Apex Paints (K) Ltd,N/A,N/A
Apex Steel Ltd - Nairobi Division,niku@apex-steel.com,0724853333
Apostles of Jesus Youth Technical Institute,N/A,N/A
Arjun Apparels Ltd,N/A,0734521704
Artoffice Furnitures Ltd,N/A,N/A
Ashut Engineers Ltd,N/A,0780707386
Asro Agencies,shilan81@gmail.com,0722539555
Astro Techwel Ltd,astrotechwel@gmail.com,0722396872
Atlas Copco Eastern Africa Ltd,info.acea@atlascopco.com,0703054000
August Auto Agencies Ltd,N/A,0722758756
Awori & Ryan Systems Engineers Co. Ltd,lmawori@yahoo.co.uk,0720051774
Azam Food Products (K) Ltd,N/A,N/A
Bafin Systems,N/A,0722317069
Bagadom Glass Work,N/A,0723400542
Bahati Wholesalers,N/A,N/A
Basco Products (K) Ltd,sales@bascopaints.com,0722204300
Bata Shoe Co (K) Ltd,N/A,0722280280
Bata Shop Kai Plaza,N/A,0726668941
Beads Swag,N/A,0705091242
Beaver Interiors,kassdy@gmail.com,0728204489
Behira Garments Ltd,sales@behiragarments.co.ke,0723448878
Benvero Ltd,N/A,N/A
Benways Hardware Store,benways@gmail.com,0726500600
Beula Fashions Ltd,N/A,0720203874
Bhachu Woodproducts (K) Ltd,bhachuwood@gmail.com,0724170192
Bidco Clothing Factory Ltd,N/A,N/A
Bidii Shoe Makers,N/A,0722792846
Bijal Textiles,N/A,0722637667
Bleson Enterprises,N/A,0712218800
Blex Textiles,N/A,0722405122
Bliston Enterprises,N/A,0722523393
Blue Nile (E.A) Ltd,bluenilekenya@live.co.uk,0722512155
BMP International Ltd,N/A,0722526061
Branel Enterprises,N/A,N/A
Britind Industries Ltd,N/A,0733460960
British American Tobacco Kenya Ltd,batkenya@bat.com,N/A
Broadview Enterprises Ltd,N/A,0722741422
Budget Shoes Ltd,budget@africaonline.co.ke,0721630830
Bulling & Cowen (Kenya) Ltd,bullcowen2004@yahoo.com,0733598985
Bulltex Emporium Co. Ltd,bulltexemporium@gmail.com,0721264826
Bumber Harvest,N/A,N/A
Bunny Industries Ltd,N/A,N/A
Busia Sugar Co Ltd,N/A,N/A
Butlen Ltd,N/A,N/A
C.Czarnikow Sugar (E A) Ltd,N/A,N/A
C & P Shoe Industries Ltd,cpshoes@cpshoes.com,0788888131
Cadbury Kenya Ltd,info.kenya@mdlz.com,0722205142
Cafa Trading Co Ltd,cafatex@hotmail.com,0722524126
Carousel (E A) Ltd,N/A,N/A
Ceramic Depot Ltd,N/A,0704446699
Chalange Industries Ltd,chalange@bidii.com,0721609614
Cherry Interior,interior.cherry@gmail.com,0733632970
Chic Fashions Ltd,N/A,N/A
Chungulia Radiator Repairs,N/A,0733731023
City Radiators Ltd,N/A,N/A
City Steel Hardware,citysteel2015@gmail.com,0727674000
City & Suburban Ltd,N/A,N/A
Classic Industries Ltd,N/A,N/A
Classic Innovations Ltd,N/A,N/A
Claytons,N/A,N/A
Coblantra Retail Ltd,spraja@coblantra.co.ke,0720626120
Consol Glass Kenya Ltd,N/A,0722203012
Cotton World Textiles,N/A,0715511711
CreamBell,N/A,N/A
Crown Paints Kenya Ltd,inquiries@crownpaints.co.ke,0719799209
Cut Tobacco (K) Ltd,N/A,N/A
Cyker Fashions,N/A,N/A
Cyro Ventures,cyrolineven@gmail.com,0728234305
Daltex Paints,N/A,0722103265
Deluxe Food Industries,dfifood@gmail.com,0733502328
Denamal Garment Factory (K) Ltd,N/A,N/A
Designers Collection,designerscollection2009@outlook.com,0705898667
Dev Cloth Ltd,N/A,N/A
Devson Wholesalers Ltd,N/A,N/A
Dhanlaxmi Textiles,N/A,N/A
Dipco Garments Factory,N/A,N/A
Distinct Garment Factory,N/A,0721280080
DK Furniture,danielkago49@gmail.com,0729554589
DMC Group,info@dmcgroup.co.ke,0770349788
Dodhia G M & Co,N/A,N/A
Doshi & Co. Electricals Ltd,N/A,0728293111
Doshi & Co (Hardware) Ltd,kpdoshi@doshigroup.com,0722776444
Double S Super Furniture,stevemukuri@gmail.com,0726251118
Dow Kenya,N/A,N/A
Dunlop Zone,lusakaroad@auxpke.com,0708786099
Dunsac Textiles,N/A,0722338468
Dyna Flow International Ltd,N/A,N/A
Eam Ean Traders,mosemuturin@yahoo.com,0712127955
East African Paints & Mining Ltd,N/A,0773521098
Electrical Distributors Ltd,info@edl.co.ke,0733222235
Elida E.A. Industries,elidaplastics@gmail.com,0716950588
Elite Wood Masters,N/A,N/A
Ellipsis International Ltd,sales@ellipsis.co.ke,0756112450
EM Furniture,elijaomuga@gmail.com,0724129649
Envelopes Africa Printing,N/A,0726946262
Equatorial Processing Company Ltd,enquire@epc.co.ke,0722982164
Eriken Manufacturing Industries Ltd,erikenindustriesltd@gmail.com,0733774422
Evalink Furniture,evasagini@gmail.com,0722787820
Express Systems Co Ltd,N/A,0733757266
Fakel Furnitures & Designers,kelvinmwangi094@gmail.com,0758574116
Falcon Radiators Services,N/A,N/A
Farims Enterprises,N/A,N/A
Fashion Clothing Factory,N/A,N/A
Fawanju Furnitures,faijames@gmail.com,0712315365
Fine Tools & Equipment,finetoolskenyaltd@gmail.com,N/A
Fine Wood Works Ltd,N/A,0725779600
Fit Tight Fasteners Ltd,fittightfasteners@gmail.com,0722210584
Flash Glass Industry,sales@flashglassindustry.co.ke,0729911692
Footsmile,N/A,0705946681
Forsoc Kenya Ltd,enquiry.kenya@fosroc.com,0709106000
Fresh an Juici Ltd & Fresh Squeeze Ltd,N/A,0789254701
Furniture International Ltd,achkay@bidii.com,0733913717
Furniture Masters Ltd,N/A,0720362225
Gala Emporium,galaemporium@gmail.com,0723495375
Galaxy Paints & Coatings Ltd,sales@galaxypaints.co.ke,0706242408
Galaxy Tyres Ltd,bluesky@gmail.com,0722167219
Gaps Garments Supplies Ltd,gapsgarments@gmail.com,0714521240
Garment Craft Ltd,mikebudhia@yahoo.com,0722723505
Geminis,N/A,0737232904
Gesalyn Enterprises Ltd,gesalynenterprises@gmail.com,0741728282
Gjenge Makers Ltd,gjengemakers@gmail.co.ke,0703289506
Glacier Products Ltd,info@dairyland.co.ke,0722202089
Global Apparels (K) EPZ Ltd,N/A,N/A
Global Hardware Ltd,globalhardwarekenya@gmail.com,0786456225
Good Hope Wood Furniture,japhetmrm@gmail.com,0723553356
Grand Paints Ltd,gpaints@bidii.com,0750993494


TARGET URL: https://www.yellowpageskenya.com/business-category/Transport%20Company
Company Name,Email,Mobile
Mololine Services Ltd,info@mololineservicesltd.co.ke,0795533855
Fastline Express Services Ltd,info@fastline-express.com,0720035138
Gravity Vans For Hire,info@gravityvansforhire.co.ke,0723395123
Jaconinos International Limited,info@jaconinos.com,0722117129
"State Department For Transport, Maritime & Shipping Affairs",ps@transport.go.ke,0708286221
Eden Transport And Logistics Ltd,info@edentransport.co.ke,0712228338
"Ministry of Transport, Infrastructure, Housing, Urban Development & Public Works",ps@housingandurban.go.ke,N/A
Northern Corridor Transit Transport Co-Ordination Authority (NCTCA),ttca@ttcanc.org,0729923574
Njoroge Regeru & Co Advocates,info@njorogeregeru.com,0722206884
African Marine & General Engineering Co Ltd,afmarine@africanmarine.com,0720630000
Corporate Insurance Co Ltd,cic@swiftkenya.com,N/A
East Gate Cargo Company Ltd,info@eastgatecargo.com,0729639343
Kapila D V & Co Advocates,dvk.co@dvkapila.com,0727167557
Mega Health Insurance Agencies,info@megahealth-insurance.com,0722755262
Oceanfreight (E.A) Ltd,ke074-info@msc.com,0709064000
Abdiaziz & Co. Advocates,Info@abdiazizadvocates.com,0713062741
Apollo & Co. Advocates,apollo@aca.co.ke,0733725482
Arap Mitei & Co Advocates,miteiadvocates@gmail.com,0722971475
Athman Errey & Co,athman@errey.co.ke,0722150034
B. I. Otieno & Co. Advocates,botieno2000@yahoo.com,0722230962
Bett & Co. Advocates,bettwakili@yahoo.com,N/A
Brighton Villas Company Ltd,brightvillasco@yahoo.com,0722778552
Charles Mbugua & Co. Advocates,charlesmbuguaadvocate@gmail.com,0719455875
Chawla & Co Advocates,chawlaandcompanyadvocates@gmail.com,0733735921
Cheptinga & Co Advocates,cheptingamilkah@gmail.com,0725621774
Cliff & Company,info@cliffcpa.co.ke,0727515731
Devani-Devani & Co.,devani@africaonline.co.ke,0734456122
Dream Plan Developers Co. Ltd,dreamplandevelopers@gmail.com,0720320113
Duncan Tallam & Co. Advocates,advocatetallam20@gmail.com,0724781063
E.K Koskei & Co. Advocates,ekkoskeiadvocates@gmail.com,0722552259
"E M Juma, Ombui & Co Advocates",emjumaadvocates@gmail.com,0706746950
E-Light Cargo and Clearing Co. Ltd,info@e-lightcargo.com,0799409060
Exxon Trading Co. Ltd,info@exxontrading .co.ke,0731677663
F. M. Muteti & Co. Advocates,legal@fmlawadvocates.co.ke,0117333222
Firetech Engineering Co. Ltd,sales@firetech.co.ke,0716850781
Gatuhi Nderitu & Co Advocates,michaelgatuhi@gmail.com,0713271158
HBC Group Co Ltd,info@hbcgroup.co.ke,0117152102
J. Maluki & Company,info@malukicompany.com,0722785479
Kalya & Co Advocates,kalyacounsel@gmail.com,0714491413
Kamau Lagat & Co. Advocates,kamaulagat@gmail.com,0724368470
Kamere & Co Advocates,kamereadvocate@yahoo.com,0722527265
Katuga & Company Advocates,katuga.advocate@gmail.com,0723871309
Kibichiy & Co Advocates,kibichiyck@gmail.com,0722384168
Kidiavai & Co. Advocates,Info@kidiavaiadvocates.co.ke,0722765194
Kiget & Co Advocates,kigetattorneys@yahoo.com,0722808744
Kimaru Kimutai & Co. Advocates,kimarulaw@gmail.com,0717880254
Kimotho Associates & Co,info@kimothoassociates.com,0725649552
Kipkenda & Company Advocates,info@kipkenda.co.ke,0739120881
"Kipkori, Kipkorir CK & Co. Advocates",kccoadvocates@gmail.com,0723689107
Kipkosgei Choge & Co. Advocates,kipkosgeichoge@yahoo.com,0724443530
Kiprop & Co Advocates,admin@kipropadvocates.com,0721776694
Kiriba & Co. Advocates,nmkiriba@gmail.com,0722274787
Kirundi & Co Advocates,ckirundi@yahoo.com,0707032994
Lagat Joshua & Co. Advocates,lagatjk8@gmail.com,0729358745
Limo R K & Co Advocates,limorkadvocates@gmail.com,0710698081
Lucky Steel & Co Ltd,info@luckysteel.co.ke,0721224777
Lush Engineering Co Ltd,info@lushengineers.com,0722980866
Lutta & Associates Advocates,info@luttaandassociatesadvocates.com,0756987470
Makambo Makabila & Co Advocates,info@makambolaw.com,0703492279
