TARGET URL: https://www.yellowpageskenya.com/business-category/Universities
Company Name,Email,Mobile
Kenyatta University,citycampus@ku.ac.ke,0708113829
Commonwealth Association of Techinical Universities & Polytechnics in Africa,capa@kenpoly.ac.ke,0792688383
Kenya Universities and Colleges Central Placement Service,N/A,0734879662
Universities Academic Staff Union,uasunational@yahoo.com,0711340054
African Instistute of Resarch & Development Studies,airadsnairobi@gmail.com,0735953706
African Virtual University,rector@avu.org,0733624412
American World University,N/A,0734790930
Australian Education Consultants Ltd,info@aec-australia.com,0722859578
Babra Institute of Education,N/A,N/A
Brand Institute of Forensics & Security,N/A,0796354465
California Miramar University,N/A,0718799955
"Catholic University of Eastern Africa, The",admission@cuea.edu,0724253733
Commission for University Education,che@kenyaweb.com,0724615798
Daystar University,N/A,0724256408
East African Overseas University,N/A,N/A
Eastern Africa College of Ophthalmologists,N/A,0737576277
Egerton University,N/A,N/A
Inoorero University (Former KSPS),enquiries@iu.ac.ke,0717048790
Institute of Advanced Technology,N/A,N/A
Institute of Nuclear Science,N/A,N/A
International Christian Graduate University,N/A,N/A
International Placement Services Ltd,N/A,N/A
Kabarak University,nairobicampus@kabaraka.ac.ke,N/A
Kampala International University,N/A,0724282701
KCA University,N/A,0710888022
Kenya Institute of Planners,N/A,0728315288
Kenya Methodist University,nairobicampus@kemu.ac.ke,0725751878
Kiriri Women''s University of Science & Technology,N/A,0736329642
Management University of Africa,admissions@muc.ac.ke,0722224193
Middlesex University Kenya Office,N/A,0710450118
Moi University,nairobicampus@mu.ac.ke,N/A
Mt Kenya School of Adventure and Leadership,N/A,0725565666
Mt Kenya University,info@mku.ac.ke,0729256979
Multimedia University of Kenya,admissions@mmu.ac.ke,0735900008
Pan Africa Christian University,N/A,0721932050
"Presbyterian University Of East Africa, The",N/A,0723799978
Riara University,N/A,0703038000
Scholars Overseas,info@scholarsoverseas.com,0733885743
Sharda University,admissions.africa@sharda.ac.in,0733694263
Southampton College,N/A,0732486520
St Lawrence University Kenya Semester Program,N/A,0722201975
St. Paul''s University,pro@spu.ac.ke,0701079407
St Thomas Aquinas Seminary,N/A,N/A
Strathmore University,strath@form-net.com,0703034000
Swiss Management Academy-Kenya,N/A,0733244891
Tangaza College,N/A,0733685059
