TARGET URL: https://www.yellowpageskenya.com/business-category/Water%20Treatment
Company Name,Email,Mobile
Aquachem (Kenya) Limited,ackl@aquachemme.com,0729406660
Aquatreat Solutions Ltd,info@aquatreat.co.ke,0724083450
Ministry Of Water & Sanitation,ps@water.go.ke,N/A
PwC,pwc.kenya@ke.pwc.com,N/A
PwC,pwc.kenya@ke.pwc.com,N/A
Water Services Regulatory Board,info@wasreb.go.ke,0709482000
Beacon Water Resources,info@beaconwaterltd.co.ke,0722353725
Brightside Drug Abuse Rehabilitation & Treatment Centre,brightsideart@yahoo.com,0722847130
Diamond Chemicals Ltd,diamond@skyweb.co.ke,0720309811
Reucher Africa (K) Ltd,info@reucherafricakenyaltd.co.ke,0715477892
Allectrify Power Solutions,info@allectrify.co.ke,0114226638
Waterlift Solar,info@waterlift.co.ke,0768117070
Waterlift Solar,info@waterlift.co.ke,0768117070
Edensfield Waste Water Treatment Systems Kenya,N/A,0710999103
Feedwater Treatment Ltd,N/A,0724555723
Absa Water Engineering Ltd,absawaterengineering@gmail.com,0722972701
Beacon Water Resources,N/A,0722353725
Industrial Water Management Ltd,N/A,N/A
Ivory Consult Ltd,N/A,0712763851
Pureflow Water Solutions,N/A,0715626413
Water Africa International Ltd,N/A,0733750139
Water Recycling Ltd,water@africaonline.co.ke,N/A
Eldama Ravine Water & Sanitation Company,erawasco2007@yahoo.co.uk,0724236240
Kakamega County Water & Sanitation Co. Ltd,kacwasco@gmail.com,N/A
Karimenu Water & Sanitation Co Ltd,kariwasco@yahoo.com,N/A
Nairobi City Water & Sewerage Co Ltd,N/A,N/A
Wote Water and Sewerage Company Ltd,wowascowote@yahoo.com,0734816819
Aberdares Water Ltd,aberdareswater@gmail.com,0725759947
Adept Water Technical Services Ltd,N/A,0723497701
Afraha Water Ltd,N/A,0721827218
"African Oasis Spring Water Ltd, The",N/A,0722509819
African Water Drilling Co. Ltd,N/A,0723021095
Alpine Water & Relief Services,N/A,N/A
Amir Exhauster and Clean Water,johnmashakiragu@gmail.com,0720021882
Amist Purified Water Refill & Bottling Station,N/A,0700564200
Amua Water Systems,N/A,0722854797
Anglo Water Equipment Ltd,N/A,N/A
Aquac Water Springs,N/A,0722578558
Aquaridge Water Refill Station,N/A,0795155186
Athi Water Services Board,info@awsboard.go.ke,0715688272
Betterline Water Limited,info@betterlinewater.co.ke,0792703331
Bibirion Water Project,N/A,N/A
Bleu Water Enterprises,N/A,N/A
Borehole & Water System,N/A,N/A
Broomhill Springs Water,N/A,0720946475
Central Water Co. Ltd,info@centralwatercompany.com,0733611877
Cresswell Water,N/A,0702335443
Deeqa Construction and water well drilling company Ltd,N/A,N/A
