TARGET URL: https://www.yellowpageskenya.com/business-category/Zippers-Manufacturers%20&%20Distributors
Company Name,Email,Mobile
NVS Kenya Ltd,sylvia.mbagu@novartis.com,N/A
Associated Battery Manufacturers (EA) Ltd - Plastics Divison,customercare@precisionplastics.co.ke,0722201371
Kartasi Industries Ltd,info@kartasi.com,0721262999
Millbrook Garment,sales@millbrookgarment.com,0787222111
Neff Ltd,sales@neff.co.ke,0723972023
Oline Retreads Ltd,olineho@gmail.com,0722431407
Pegler Paints Ltd,info@peglerpaints.co.ke,0714888000
Ratos Kenya Ltd,gmekala@ratoskenya.co.ke,0729727121
Kangaroo Brands Ltd,shoecare@kangaroo.co.ke,0711902460
Champion Radiators,champrad@yahoo.com,0722201336
Devyani Food Industries Kenya,info@sall.co.ke,N/A
Elida E.A. Industries,elidaplastics@gmail.com,0716950588
Geocomp Systems,info@geocompsystems.co.ke,0738010275
Silverspread Hardwares Ltd,info@silverspread.com,0721156999
Universal Insulators Ltd,universalinsulators@plastrub.com,0723312801
Vision Fashion Ltd,info.visionfashionltd@gmail.com,0723257795
Afrocity Tobacco Distributors Ltd,N/A,N/A
Electrical Distributors Ltd,info@edl.co.ke,0733222235
Lucky Distributors Ltd,N/A,0711771770
Coast Tobacco Distributors Ltd,N/A,N/A
Elgeyo Distributors,elgeyodistributors@gmail.com,0722731612
Ocean Distributors Ltd,oceandistributors@gmail.com,N/A
Ujenzi Distributors Ltd,ujenzi@gmail.com,0720258381
A. & M. Gulled Distributors,N/A,0708261289
Africa Rubber Stamps & Company Seals Manufacturers,afristamps@yahoo.co.uk,0721770395
Agala International Distributors,N/A,N/A
Alankar Industries Ltd,N/A,0733324580
Allan''s Distributors Ltd,jaogwayo@yahoo.com,0722517653
Alpha Medical Manufacturers Ltd,accounts@alphamedicalafrica.com,0752323398
Alves Distributors,N/A,0722648222
Alwadood distributors,N/A,0722899933
Amkay Distributors Ltd,steve_lihanda@yahoo.com,0734631299
Asaci Distributors,N/A,0721587942
Associated Battery Manufacturers (E A) Ltd,batman@abm.co.ke,0722206887
Association of Kenya Feed Manufacturers,N/A,0706413607
Automotive & Industrial Battery Manufacturers (K) Ltd,voltmast@africaonline.co.ke,0721435703
Bags & Balers Manufacturers (K) Ltd,N/A,0734651711
Benchmark Distributors Ltd,N/A,0719555999
Bia Bora Distributors,N/A,N/A
Bia Tosha Distributors,biatoshadist@gmail.com,0721404228
Bima Manufacturers Ltd,N/A,N/A
Book Distributors Ltd,bdl@kenyaweb.com,0722564455
Branel Enterprises,N/A,N/A
Brush Manufacturers Ltd,teepee@brush.co.ke,0722513484
Capital Dairy Distributors Ltd,N/A,0733604978
Captain Motorcycle Manufacturers Ltd,N/A,0727139666
Carton Manufacturers Ltd,N/A,0724259897
Cement Plant Manufacturers,N/A,0738402822
Chambeke Distributors,N/A,0720554625
Chik Nik Distributors,N/A,0733610769
Chui Manufacturers Ltd,N/A,0729439466
Circular Distributors Ltd,N/A,N/A
Classic Soles & Shoes Manufacturers,N/A,N/A
Consumer Line Distributors,N/A,0704387177
Creative Manufacturers Ltd,creativemanufacturersltd@yahoo.com,0722205206
Dash Bingwa Distributors Ltd,info@dashclothing.com,N/A
Data Guard Distributors,"info@dataguard.co,ke",0720548574
Dedor Distributors Ltd,N/A,N/A
Dirtex Manufacturers Ltd,N/A,N/A
Dunlop Zone,lusakaroad@auxpke.com,0708786099
E Mburu Distributors,e.mburu.k@gmail.com,0726364000
Eastzone Distributors Ltd,eastzone2005@yahoo.com,N/A
Elimatt Distributors,elimattdist@gmail.com,0721345230
Everywhere Distributors Ltd,everywhere@everywherekenya.net,0722512473
Five Star Agencies Ltd,N/A,0722509441
Five Star Manufacturers,fivestarindltd@gmail.com,0733484733
Foru Distributors,N/A,N/A
Friendship Container Manufacturers Ltd,N/A,0722206990
Galaxy Tyres Ltd,bluesky@gmail.com,0722167219
Geon Africa Book Distributors Ltd,N/A,0720102628
Ginama Distributors,N/A,N/A
Githunguri Distributors,N/A,N/A
Graham Agricultural Distributors Ltd,N/A,N/A
Happyland Distributors Ltd,N/A,N/A
Harris Distributors Ltd,N/A,N/A
Harrow Distributors,N/A,N/A
High Speed Tyres,N/A,N/A
